SiteID,Site,NightLight_3km,NightLight_5km,NightLight_10km,Canis_lupus_familiaris_Day,Canis_lupus_familiaris_Night,Cuniculus_paca_Day,Cuniculus_paca_Night,Dasyprocta_azarae_Day,Dasyprocta_azarae_Night,Dasypus_novemcinctus_Day,Dasypus_novemcinctus_Night,Didelphis_albiventris_Day,Didelphis_albiventris_Night,Didelphis_aurita_Day,Didelphis_aurita_Night,Eira_barbara_Day,Eira_barbara_Night,Guerlinguetus_brasiliensis_Day,Guerlinguetus_brasiliensis_Night,Leopardus_pardalis_Day,Leopardus_pardalis_Night,Mazama_gouazoubira_Day,Mazama_gouazoubira_Night,Nasua_nasua_Day,Nasua_nasua_Night,Pecari_tajacu_Day,Pecari_tajacu_Night,Puma_concolor_Day,Puma_concolor_Night,Rat_Day,Rat_Night,Sus_scrofa_Day,Sus_scrofa_Night,Sylvilagus_brasiliensis_Day,Sylvilagus_brasiliensis_Night,Tapirus_terrestris_Day,Tapirus_terrestris_Night,Tayassu_pecari_Day,Tayassu_pecari_Night
1,Carlos_Botelho,0.181837007,0.100855,0.0530174,1,0,9,120,0,0,0,2,0,1,0,9,4,0,61,4,0,10,3,30,3,4,0,2,2,4,1,54,0,0,0,0,12,38,5,3
2,Ilha_do_Cardoso,0.0280379,0.023534499,0.269225001,1,2,0,3,0,0,0,2,0,4,0,2,0,0,0,0,0,7,4,12,0,0,0,0,3,6,3,44,0,0,0,0,0,0,71,35
3,Santa_Virginia_ITA,0.029198799,0.0272626,0.045827098,0,2,0,50,0,0,0,1,0,0,0,9,8,0,64,2,3,10,0,0,2,0,8,4,2,11,21,223,0,0,0,3,9,35,182,16
4,Santa_Virginia_VG,0.083407298,0.10723,0.198026001,3,0,1,40,1,0,0,2,0,5,0,15,3,0,113,2,1,4,0,0,0,0,3,0,3,7,14,428,0,0,0,0,3,2,0,1
5,Amparo,0.280874997,0.309419006,1.193070054,1,1,1,13,0,0,0,4,0,7,0,14,1,1,4,3,1,2,2,0,10,2,0,0,0,1,4,73,5,3,0,4,0,0,0,0
6,Anhembi1,0.080339298,0.21604,0.228274003,0,0,0,4,93,14,6,56,7,80,0,0,1,0,5,1,0,1,34,143,5,2,44,31,1,1,1,32,2,0,0,0,0,0,17,1
7,Araras,0.283347011,0.372794986,1.926110029,3,0,0,0,8,5,1,5,0,0,1,49,0,0,9,0,1,2,0,0,2,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0
8,Cosmopolis,1.393630028,2.779249907,4.591199875,0,0,0,0,0,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
9,Dinamerica,0.111527003,0.116439,1.267910004,7,0,0,5,1,1,0,3,0,17,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,ESEC_Mico_Leao_Preto,0.0115828,0.017632,0.039714798,0,0,0,0,129,11,2,12,4,51,0,0,3,1,0,0,1,3,10,13,2,0,19,1,0,0,0,0,0,0,0,0,14,26,0,0
11,Caetetus,0.051570699,0.074653298,0.202489004,6,0,1,130,127,18,4,149,7,172,0,0,28,2,40,0,5,16,12,50,59,2,164,79,9,8,2,4,0,0,3,120,50,139,1012,352
12,Iracemapolis,1.016569972,0.87094003,1.623939991,0,0,0,0,0,0,1,8,0,0,0,5,0,0,1,0,0,0,2,0,6,0,0,0,1,1,0,0,2,5,0,0,0,0,0,0
13,Irapua,0.292665988,0.186593994,0.396082014,0,0,0,0,26,7,0,6,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,3,0,0,0,0,1,2,0,0
14,Martinopolis,0.0374314,0.040970702,0.057776,0,0,0,0,191,8,10,38,1,86,0,0,6,1,6,1,0,2,3,0,3,0,1,0,0,0,0,5,3,0,0,7,4,17,0,0
15,Matao,0.106256999,0.138391003,0.212401003,0,0,0,0,8,4,0,11,0,0,0,6,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,10,6,0,12,0,0,0,0
