,Thraupis sayaca,Zonotrichia capensis,Turdus leucomelas,Elaenia flavogaster,Icterus cayanensis,Myiodynastes maculatus,Megarynchus pitangua,Myiarchus ferox,Pitangus sulphuratus,Turdus amaurochalinus,Tyrannus melancholicus,Mimus saturninus,Tachyphonus coronatus,Pyrrhocoma ruficeps,Tangara cayana
Cecropia pachystachya,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cordia africana,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0
Citharexylum myrianthum,0,0,22,0,0,11,1,3,1,5,2,0,0,0,0
Eugenia uniflora,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ficus sp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maytenus sp,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Momordica charantia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Schinus terebinthifolius,2,1,3,0,0,0,0,0,0,0,0,1,2,0,1
Morus alba,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Cestrum mariquitense,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Miconia sp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Olyra sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
