,Turdus leucomelas,Myiozetetes similis,Myiodynastes maculatus,Elaenia sp,Pitangus sulphuratus,Thraupis sayaca,Dacnis cayana,Antilophia galeata,Icterus cayanensis,Myiarchus ferox,Nemosia pileata,Ramphocelus carbo,Tangara cayana,Turdus amaurochalinus,Coereba flaveola,Euphonia chlorotica,Tachyphonus coronatus,Thlypopsis sordida,Thraupis palmarum,Tyrannus savana,Volatinia jacarina,Megarynchus pitangua,Patagioenas picazuro,Mimus saturninus,Empidonomus varius,Colaptes melanochloros,Tachyphonus rufus,Zonotrichia capensis,Myiothlypis flaveola
Cordia ecalyculata,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casearia sylvestris,0,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callicarpa reevesii,3,2,0,6,1,3,0,6,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecropia pachystachya,17,3,0,0,6,55,10,2,4,0,1,13,6,1,4,8,3,1,15,4,1,0,0,0,0,0,0,0,1
Clausena excavata,16,0,0,2,3,12,0,6,0,0,0,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cordia africana,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0
Citharexylum myrianthum,3,1,0,3,3,18,0,5,1,0,0,1,1,0,1,0,0,0,0,7,0,4,0,0,0,0,0,0,0
Eugenia brasiliensis,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eugenia uniflora,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guarea sp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syzygium cumini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melia azedarach,2,1,0,0,1,16,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
Miconia rubiginosa,2,2,0,0,0,4,5,3,0,0,0,3,1,0,0,0,2,1,0,1,1,0,0,0,2,0,0,0,0
Myrsine coriacea,17,4,3,0,4,0,0,0,0,0,0,3,1,1,0,0,0,0,1,6,0,0,0,0,0,3,0,0,0
Nectandra megapotamica,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piper sp,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Psidium guajava,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus rosifolius,13,0,0,0,0,2,0,2,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0
Schinus terebinthifolius,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Solanum hazenii,2,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Cestrum mariquitense,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia sp,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus benjamina,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
