,Turdus leucomelas,Pitangus sulphuratus,Ramphocelus carbo,Ramphastos toco,Elaenia flavogaster,Fluvicola nengeta,Leptotila sp,Patagioenas picazuro,Dacnis cayana,Thraupis sayaca,Turdus amaurochalinus,Tachyphonus coronatus,Conirostrum speciosum,Tangara cayana
Lauraceae sp,0,1,1,15,0,0,0,0,0,0,0,0,0,0
Citharexylum myrianthum,12,0,0,0,2,1,6,11,0,0,0,0,0,0
Eugenia sp,4,0,2,0,0,0,0,0,1,6,1,0,0,0
Syzygium cumini,6,0,9,0,0,0,0,0,0,0,0,0,0,0
Morus alba,3,0,3,0,0,0,0,0,0,6,0,3,0,0
Trichilia catigua,12,0,18,0,0,0,0,0,0,1,0,0,0,0
Trichilia clausseni,4,0,1,0,1,0,0,0,1,0,0,0,1,1
Guarea kunthiana,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Melia azedarach,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cestrum mariquitense,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ficus sp,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Piper aduncum,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Undetermined4 sp,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Undetermined5 sp,2,0,0,0,0,0,0,0,0,0,0,0,0,0
