,Ramphastos dicolorus,Celeus flavescens,Cranioleuca pallida,Elaenia flavogaster,Elaenia mesoleuca,Elaenia sp,Pitangus sulphuratus,Tyrannus melancholicus,Turdus amaurochalinus,Turdus leucomelas,Turdus rufiventris,Vireo olivaceus,Zonotrichia capensis,Conirostrum speciosum,Coereba flaveola,Dacnis cayana,Pipraeidea melanonota,Saltator similis,Tangara cayana,Thlypopsis sordida,Thraupis palmarum,Thraupis sayaca
Ficus microcarpa,0,1,0,0,0,0,17,2,3,0,11,0,5,0,5,0,0,0,4,0,0,12
Vitex polygama,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eugenia cerasiflora,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
Alchornea sidifolia,0,0,0,1,0,0,2,1,0,2,5,1,0,0,5,1,0,1,2,2,0,24
Schinus terebinthifolius,0,0,0,0,0,3,4,4,0,0,1,0,0,0,4,3,0,0,6,0,0,21
Archontophoenix cunninghamiana,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0
Cissus selloana,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cinnamomum triplinerve,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,2,0,0,1,1
Struthanthus marginatus,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Davilla rugosa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Myrciaria floribunda,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annona neosericea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordia ecalyculata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Endlicheria paniculata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Guarea macrophylla,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Prunus reflexa,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0
Miconia ligustroides,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,1
Guettarda viburnoides,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,4,0,0,7
Myrcia tomentosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6
Rudgea jasminoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Casearia sylvestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Cecropia glaziovii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Ficus insipida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Solanum erianthum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Cestrum schlechtendalii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Lantana camara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
