,Patagioenas picazuro,Crotophaga ani,Guira guira,Elaenia flavogaster,Pitangus sulphuratus,Myiodynastes maculatus,Tyrannus melancholicus,Tyrannus savana,Turdus rufiventris,Mimus saturninus,Coereba flaveola,Thraupis sayaca,Thraupis palmarum,Tersina viridis,Sicalis flaveola,Gnorimopsar chopi,Chrysomus ruficapillus,Estrilda astrild,unknown sp,unknown2 sp
Elaeis guineensis,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arecaceae sp,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roystonea oleraceae,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Syagrus romanzoffiana,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Trema micrantha,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,1,0,0,0,0
Erythroxylum pulchrum,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Cajanus cajan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia auriculiformis,3,2,1,5,4,2,2,0,0,0,0,16,1,0,1,0,1,0,0,0
Inga laurina,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Samanea tubulosa,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Guarea guidonia,0,0,0,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
Ficus benjamina,0,0,0,2,6,0,3,3,0,5,4,30,0,0,3,0,0,0,0,0
Ficus sp,0,0,0,5,6,0,4,0,0,8,4,34,0,3,0,0,0,0,1,0
Musa paradisiaca,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Plinia cauliflora,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Psidium guajava,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Syzygium cumini,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Guapira opposita,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Genipa americana,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Murraya paniculata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cupania oblongifolia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Duranta erecta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
