,Attila phoenicurus,Baryphthengus ruficapillus,Cacicus chrysopterus,Camptostoma obsoletum,Carpornis cucullata,Celeus flavescens,Chiroxiphia caudata,Coereba flaveola,Conirostrum speciosum,Dacnis cayana,Elaenia flavogaster,Elaenia sp,Empidonomus varius,Euphonia chalybea,Euphonia chlorotica,Euphonia violacea,Habia rubica,Hemithraupis ruficapilla,Hylophilus poicilotis,Trichothraupis melanops,Lathrotriccus euleri,Melanerpes flavifrons,Mionectes rufiventris,Myiodynastes maculatus,Myiozetetes similis,Orthogonys chloricterus,Oxyruncus cristatus,Patagioenas plumbea,Penelope obscura,Phylloscartes sylviolus,Pitangus sulphuratus,Pyroderus scutatus,Ramphastos dicolorus,Schiffornis virescens,Setophaga pitiayumi,Tachyphonus coronatus,Tangara cayana,Thraupis cyanocephala,Thraupis cyanoptera,Tangara desmaresti,Thraupis ornata,Thraupis palmarum,Thraupis sayaca,Tangara seledon,Tersina viridis,Tityra cayana,Tityra inquisitor,Troglodytes musculus,Trogon rufus,Trogon surrucura,Turdus albicollis,Turdus amaurochalinus,Turdus flavipes,Turdus leucomelas,Turdus rufiventris,Tyrannus melancholicus,Vireo olivaceus,Zonotrichia capensis
Aegiphila integrifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cissampelos andromorpha,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,0,0
Citrus reticulata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clusia criuva,0,0,0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Cupania vernalis,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Eriobotrya japonica,0,0,10,0,0,1,0,13,0,36,0,0,0,0,0,7,0,1,0,1,0,4,0,0,0,0,0,0,15,0,0,1,4,0,0,7,9,7,8,1,17,7,21,5,0,0,0,0,0,0,0,0,0,8,7,0,0,7
Erythroxylum ambiguum,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
Eugenia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia uniflora,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Euterpe edulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ficus enormis,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,2,8,0,3,1,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Geonoma gamiova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
Leandra acutiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leandra australis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnolia champaca,0,0,1,2,0,8,0,1,0,34,3,0,0,0,0,0,0,0,0,0,0,11,18,0,13,0,0,0,0,0,7,0,7,0,0,0,14,0,0,0,17,4,2,10,3,0,0,0,0,1,0,0,2,31,46,0,0,0
Maytenus gonoclada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Miconia cabucu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia pusilliflora,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia racemifera,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,3,1,10,0,6,1,3,0,0,0,9,0,0,0,0,0,0,3,0,1,0,0,0,0,0
Miconia tristis,1,0,0,3,0,0,0,2,1,9,1,1,1,0,2,0,0,6,0,0,0,2,1,4,0,0,0,0,0,1,0,0,1,0,0,10,3,3,5,16,14,8,18,9,1,0,0,1,0,0,0,4,0,7,10,2,2,1
Morus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Myrsine coriacea,0,0,1,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,8,0,1,3,3,2,7,0,0,0,0,0,0,0,0,0,3,0,0,0,1
Myrsine umbellata,1,0,0,10,0,0,2,0,0,7,0,5,2,0,0,0,0,2,0,0,1,1,12,8,4,0,5,0,0,0,0,0,3,0,0,3,0,5,0,3,1,3,4,4,0,0,0,0,0,0,0,0,0,1,4,0,11,0
Phoenix sylvestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Psidium guajava,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria gracilenta,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapindaceae sp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
