,Carpornis melanocephala ,Procnias nudicollis,Pyroderus scutatus,Penelope obscura,Penelope superciliaris,Pipile jacutinga,Ramphastos dicolorus,Ramphastos vitellinus,Selenidera maculirostris,Turdus flavipes,Turdus albicollis,Turdus amaurochalinus,Turdus rufiventris,Myiodynastes maculatus,Pitangus sulphuratus,Tyrannus melancholicus
Xylopia langsdorfiana,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
Annona neosericea,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
Ilex pseudobuxus,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
Ilex theizans,0,2,0,0,3,0,0,0,0,6,13,7,4,0,0,0
Schefflera angustissima,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0
Euterpe edulis,0,12,3,2,0,7,2,49,23,30,39,0,0,0,0,0
Cinnamodendron dinisii,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Cecropia glaziovii,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Maytenus gonoclada,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Clusia criuva,0,0,0,0,0,0,0,0,0,0,1,5,7,20,7,7
Alchornea triplinervia,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Hieronyma alchorneoides,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
Casearia sylvestris,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Aiouea saligna,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cryptocarya moschata,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
Nectandra membranacea,0,1,2,0,0,0,1,7,0,1,10,0,0,0,0,0
Ocotea pulchella,0,0,0,0,0,0,0,1,0,16,24,15,10,4,4,19
Miconia cubatanensis,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
Cabralea canjerana,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0
Guarea macrophylla,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Mollinedia schottiana ,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Mollinedia uleana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Inga ynga,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Virola bicuhyba,0,5,0,0,0,0,2,47,7,6,3,0,0,0,0,0
Myrsine sp,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
Myrsine umbellata,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Calyptranthes concinna,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Campomanesia guaviroba,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
Eugenia sp,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Eugenia sp1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Eugenia cuprea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eugenia astringens,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Myrcia ilheosensis,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0
Myrcia spectabilis,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
Marlierea tomentosa,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Marlierea obscura,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Myrcia pulchra,1,0,0,0,2,0,0,0,1,1,3,0,0,0,0,0
Myrcia pubipetala,1,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0
Neomitranthes glomerata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Psidium cattleianum,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Guapira opposita,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Quiina glazovii,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Psychotria nuda,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0
Psychotria sp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rudgea jasminoides,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Cupania oblongifolia,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0
Chrysophyllum flexuosum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symplocos uniflora,0,1,0,1,0,0,1,2,0,1,2,0,0,0,0,0
Vitex sp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
