,Patagioenas cayennensis,Patagioenas speciosa,Celeus flavescens,Machaeropterus regulus,Manacus manacus,Dixiphia pipra,Pipra rubrocapilla,Pachyramphus polychopterus,Capsiempis flaveola,Elaenia flavogaster,Tolmomyias flaviventris,Cnemotriccus fuscatus,Mionectes oleagineus,Legatus leucophaius,Megarynchus pitangua,Myiarchus ferox,Myiodynastes maculatus,Myiozetetes cayanensis,Myiozetetes similis,Pitangus sulphuratus,Tyrannus melancholicus,Platycichla flavipes ,Turdus amaurochalinus,Turdus leucomelas,Turdus rufiventris,Vireo olivaceus,Geothlypis aequinoctialis,Arremon taciturnus,Euphonia chlorotica,Euphonia violacea,Cacicus haemorrhous,Conirostrum speciosum,Coereba flaveola,Cyanerpes cyaneus,Dacnis cayana,Hemithraupis flavicollis,Nemosia pileata,Ramphocelus bresilius,Saltator maximus,Tachyphonus coronatus,Tachyphonus cristatus,Tangara cayana,Tangara mexicana,Thraupis palmarum,Thraupis sayaca
Myrsine ferruginea,0,0,3,0,3,2,3,3,0,3,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,4,3,0,0,1,0,1,1
Myrcia splendens,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,4,5,0,1,0,0,1,0
Miconia albicans,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,1,0,0,4,1,2,0,0,1,0,0,0,0,0,1,2,0,0,0,8,1,3,15,2,5,2,0,0,0,1
Miconia prasina,0,0,0,2,4,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,6,1,3,0,0,1,1,2
Xylopia sericea,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,6,1,12,7,0,2,1,2,0,0,0,1,1
Cupania oblongifolia,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,2,4,3,2,0,4,2,4,0,0,0,1,0,4,0,0,0,1,0,2,2,0,0,0,0,0,0,0
Henriettea saldanhaei,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alchornea triplinervia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0
Trema micrantha,0,0,0,0,4,0,0,0,0,0,0,7,3,0,0,1,0,0,3,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,6,0,0,7,1,0,0,0,0,0,0
Aegiphila integrifolia,0,0,0,0,2,0,2,0,0,0,0,1,1,0,1,1,0,0,5,5,1,0,3,0,0,0,0,0,0,0,1,0,1,0,3,0,0,3,8,0,1,0,2,0,0
Guarea guidonia,0,0,1,1,9,1,0,0,0,0,0,3,1,5,1,2,7,0,5,1,3,0,5,0,0,6,0,0,0,0,13,0,1,0,11,0,1,2,1,0,0,0,0,0,0
Citharexylum myrianthum,2,1,0,0,0,0,0,0,0,4,0,0,0,10,1,1,4,0,4,4,4,0,5,0,1,0,0,0,0,1,0,2,0,0,4,0,2,0,1,0,0,0,0,0,3
Miconia cinnamomifolia,0,0,0,5,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,1,1,0,2,0,1,0,0
