,Turdus rufiventris,Penelope obscura,Turdus albicollis,Basileuterus culicivorus,Pteroglossus bailloni,Chiroxiphia caudata,Trichothraupis melanops,Celeus flavescens,Manacus manacus,Tachyphonus coronatus,Tangara cayana,Turdus amaurochalinus,Pteroglossus aracari,Tangara cyanoventris,Dacnis cayana,Elaenia sp,Thraupis sayaca,Turdus leucomelas,Saltator similis,Thlypopsis sordida,Ilicura militaris,Trogon surrucura,Hylophilus amaurocephalus,Megarynchus pitangua,Hemithraupis ruficapilla,Pitangus sulphuratus,Tolmomyias sulphurescens,Mionectes rufiventris
Ilex sp,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inga ynga,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cecropia glaziovii,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Casearia sylvestris,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1
Nectandra sp,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nectandra lanceolata,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Senna macranthera,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Inga edulis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia cinnamomifolia,1,2,5,0,2,6,7,1,4,5,7,1,1,6,5,6,6,1,1,1,0,0,0,0,2,0,1,0
Miconia tentaculifera,0,0,0,1,0,6,4,0,3,5,0,0,0,4,2,0,0,0,3,0,1,0,0,0,0,0,0,0
Miconia budlejoides,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia sp,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,1,0,0,0,0,1,1,1,0,0
Guarea macrophylla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus sp,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guapira opposita,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouratea polygyna,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rubiaceae sp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudgea sessilis,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria sp1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus edulis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paullinia sp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symplocos pubescens,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegiphila integrifolia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
unknown sp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
