,Pachyramphus polychopterus,Elaenia sp,Xolmis velatus,Empidonomus varius,Megarynchus pitangua,Myiarchus swainsoni,Myiodynastes maculatus,Pitangus sulphuratus,Turdus albicollis,Turdus amaurochalinus,Turdus rufiventris,Turdus subalaris,Vireo olivaceus,Poospiza lateralis,Zonotrichia capensis,Chlorophonia cyanea,Cacicus chrysopterus,Saltator similis,Stephanophorus diadematus,Tangara preciosa,Thraupis sayaca,Patagioenas picazuro
Scutia buxifolia,0,5,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,5,1,21,2,0
Myrsine ferrugine,6,18,2,2,8,3,6,2,7,2,5,2,4,0,5,0,2,0,0,5,0,0
Symplocos uniflora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0
Sloanea hirsut,0,0,0,0,0,3,0,0,6,1,1,1,2,0,2,0,2,1,0,2,0,0
Calyptranthes concinna,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cissus striata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauraceae sp,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Styrax leprosus,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,5,1,0
Casearia decandra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Myrrhinium atropurpureum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0
Cinnamodendron dinisii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Myrcia brasiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Schaefferia argentinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Myrcia oblongata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
