,Penelope  sp,Patagioenas cayennensis,Patagioenas picazuro,Patagioenas sp,Columbina  talpacoti,Leptotila  rufaxilla,Leptotila verreauxi,Zenaida  auriculata,Crotophaga ani,Guira  guira,Celeus  flavescens,Colaptes  campestris,Colaptes  melanochloros,Melanerpes  candidus,Veniliornis  spilogaster,Pachyramphus  polychopterus,Pachyramphus  validus,Camptostoma  obsoletum,Elaenia flavogaster,Elaenia  sp,Xolmis  cinereus,Xolmis  velatus,Empidonomus  varius,Myiarchus  ferox,Myiarchus  sp,Myiarchus  swainsoni,Myiodynastes  maculatus,Myiozetetes  similis,Pitangus sulphuratus,Tyrannus melancholicus,Tyrannus savana,Cyanocorax  cristatellus,Mimus  saturninus,Turdus  amaurochalinus,Turdus  leucomelas,Turdus rufiventris,Turdus  sp,Cyclarhis  gujanensis,Vireo  olivaceus,Volatinia  jacarina,Zonotrichia  capensis,Pseudoleistes  guirahuro,Coryphospingus  cucullatus,Dacnis  cayana,Saltator  similis,Tachyphonus  coronatus,Tangara cayana,Tersina  viridis,Thraupis sayaca
Aegiphila integrifolia,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,1,1,0,8
Bunchosia sp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,3,2,1,0,8
Cestrum mariquitense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lithrea caustica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Myrsine sp,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,4,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,4
Schinus terebinthifolius,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,14,3,0,0,0,0,0,1,0,17
Syzygium cumini,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,13
Protium heptaphyllum,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,17,4,1,1,0,0,0,0,1,6,9,0,24,0,50
Guarea macrophylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus urticifolius,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,13,0,0,0
Cordia sellowiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Maclura tinctoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
Casearia sylvestris,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,2,1,1,1,6,1,0,7,0,4,1,4,5,77,8,0,3,31,12,0,4,11,16,13,4,1,10,1,14,2,1,51
Erythroxylum deciduum,0,3,13,3,0,0,0,0,0,0,2,9,2,3,1,6,2,6,8,2,0,17,17,4,15,2,11,11,27,12,26,6,1,2,81,26,0,2,4,6,16,0,0,8,1,0,10,1,60
Persea willdenovii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,20,5,0,1,0,0,0,0,0,0,0,0,0,0,0
