ID,Study_Location_new,Study.reference,Frug_Family,Frugivore_Species,Frugivore_Species2,Frug_Body_Mass,Plant_family,Plant_Species,Plant_Species2,interaction,seed_diameter,Type.of.Interaction,Plant_genus,Plant_specific.epiteth,Plant_origin,Plant_Form,fruit_diameter,fruit_length,seed_length,Fruit_color,Lipid_Score,Plants_IUCN,Frug_Class,Frug_Order,Frug_Genus,Frug_Epitetus,Frug_Group,Frug_Body_Mass.1,Frug_Mean_Gape_Size,Frugivory_score,Frug_Migration_status,Frug_IUCN,Frug_Population_Trend,Study_Location,Latitude,Longitude,Precision,Doi.Link,Study_Method
52,PE Ilha do Cardoso,Castro 2003,Cracidae,Penelope obscura,Penelope_obscura,1770,Arecaceae,Euterpe edulis,Euterpe_edulis,Penelope obscuraEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Craciformes,Penelope,obscura,Large birds,1770,22.35,3,RES,LC,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
54,PE Ilha do Cardoso,Castro 2003,Thraupidae,Tachyphonus coronatus,Tachyphonus_coronatus,29.3,Arecaceae,Euterpe edulis,Euterpe_edulis,Tachyphonus coronatusEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Tachyphonus,coronatus,Small birds,29.3,8.42,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
55,PE Ilha do Cardoso,Castro 2003,Cotingidae,Carpornis cucullata,Carpornis_cucullata,74.2,Arecaceae,Euterpe edulis,Euterpe_edulis,Carpornis cucullataEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Carpornis,cucullata,Large birds,74.2,14.98,3,RES,NT,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
56,PE Ilha do Cardoso,Castro 2003,Cotingidae,Tityra cayana,Tityra_cayana,68.1,Arecaceae,Euterpe edulis,Euterpe_edulis,Tityra cayanaEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Tityra,cayana,Small birds,68.1,16.57,2,AM,LC,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
57,PE Ilha do Cardoso,Castro 2003,Thraupidae,Tangara cyanocephala,Tangara_cyanocephala,18,Arecaceae,Euterpe edulis,Euterpe_edulis,Tangara cyanocephalaEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Tangara,cyanocephala,Small birds,18,5.17,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
58,PE Ilha do Cardoso,Castro 2003,Turdidae,Turdus rufiventris,Turdus_rufiventris,69.5,Arecaceae,Euterpe edulis,Euterpe_edulis,Turdus rufiventrisEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Turdus,rufiventris,Small birds,69.5,13.25,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
59,PE Ilha do Cardoso,Castro 2003,Thraupidae,Tangara seledon,Tangara_seledon,18.7,Arecaceae,Euterpe edulis,Euterpe_edulis,Tangara seledonEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Tangara,seledon,Small birds,18.7,6.12,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
60,PE Ilha do Cardoso,Castro 2003,Ramphastidae,Ramphastos dicolorus,Ramphastos_dicolorus,331,Arecaceae,Euterpe edulis,Euterpe_edulis,Ramphastos dicolorusEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Piciformes,Ramphastos,dicolorus,Large birds,331,30.1,3,AM,LC,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
61,PE Ilha do Cardoso,Castro 2003,Cotingidae,Pyroderus scutatus,Pyroderus_scutatus,357,Arecaceae,Euterpe edulis,Euterpe_edulis,Pyroderus scutatusEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Pyroderus,scutatus,Large birds,357,27.84,3,AM,LC,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
62,PE Ilha do Cardoso,Castro 2003,Turdidae,Turdus amaurochalinus,Turdus_amaurochalinus,57.9,Arecaceae,Euterpe edulis,Euterpe_edulis,Turdus amaurochalinusEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Turdus,amaurochalinus,Small birds,57.9,12.1,2,MIG,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
