Site,Species,Hour,Minutes,NightLight_10K,NightLight_5K,NightLight_3K
Amparo,Canis_lupus_familiaris,16,20,1.193070054,0.309419006,0.280874997
Amparo,Canis_lupus_familiaris,18,12,1.193070054,0.309419006,0.280874997
Araras,Canis_lupus_familiaris,7,46,1.926110029,0.372794986,0.283347011
Araras,Canis_lupus_familiaris,8,31,1.926110029,0.372794986,0.283347011
Araras,Canis_lupus_familiaris,9,5,1.926110029,0.372794986,0.283347011
Dinamerica,Canis_lupus_familiaris,7,42,1.267910004,0.116439,0.111527003
Dinamerica,Canis_lupus_familiaris,7,42,1.267910004,0.116439,0.111527003
Dinamerica,Canis_lupus_familiaris,17,41,1.267910004,0.116439,0.111527003
Dinamerica,Canis_lupus_familiaris,15,55,1.267910004,0.116439,0.111527003
Dinamerica,Canis_lupus_familiaris,11,33,1.267910004,0.116439,0.111527003
Dinamerica,Canis_lupus_familiaris,7,42,1.267910004,0.116439,0.111527003
Dinamerica,Canis_lupus_familiaris,8,34,1.267910004,0.116439,0.111527003
Sao_Jose_Rio_Pardo,Canis_lupus_familiaris,10,18,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Canis_lupus_familiaris,7,34,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Canis_lupus_familiaris,6,54,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Canis_lupus_familiaris,7,13,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Canis_lupus_familiaris,10,19,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Canis_lupus_familiaris,11,7,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Canis_lupus_familiaris,6,41,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Canis_lupus_familiaris,11,27,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Canis_lupus_familiaris,6,32,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Canis_lupus_familiaris,10,16,0.235854998,0.104506001,0.120008998
Caetetus,Canis_lupus_familiaris,13,44,0.202489004,0.074653298,0.051570699
Caetetus,Canis_lupus_familiaris,13,23,0.202489004,0.074653298,0.051570699
Caetetus,Canis_lupus_familiaris,15,55,0.202489004,0.074653298,0.051570699
Caetetus,Canis_lupus_familiaris,13,12,0.202489004,0.074653298,0.051570699
Caetetus,Canis_lupus_familiaris,17,42,0.202489004,0.074653298,0.051570699
Ipeuna2,Canis_lupus_familiaris,24,39,0.938365996,0.227390006,0.173724994
Ipeuna2,Canis_lupus_familiaris,8,32,0.938365996,0.227390006,0.173724994
Ipeuna2,Canis_lupus_familiaris,6,8,0.938365996,0.227390006,0.173724994
Ipeuna2,Canis_lupus_familiaris,17,16,0.938365996,0.227390006,0.173724994
Ipeuna2,Canis_lupus_familiaris,23,57,0.938365996,0.227390006,0.173724994
Ipeuna2,Canis_lupus_familiaris,23,59,0.938365996,0.227390006,0.173724994
Ipeuna2,Canis_lupus_familiaris,8,41,0.938365996,0.227390006,0.173724994
Caetetus,Canis_lupus_familiaris,13,7,0.202489004,0.074653298,0.051570699
Itamonte,Canis_lupus_familiaris,16,19,0.104815997,0.069204003,0.086518496
Mococa,Canis_lupus_familiaris,6,56,0.203025997,0.243810996,0.141568005
Mata_Santa_Genebra,Canis_lupus_familiaris,23,27,24.07699966,19.86580086,10.5564003
Mata_Sao_Jose,Canis_lupus_familiaris,10,15,4.565340042,0.948502004,0.865884006
Carlos_Botelho,Canis_lupus_familiaris,11,33,0.0530174,0.100855,0.181837007
Intervales,Canis_lupus_familiaris,10,32,0.00919312,0.010537,0.0123196
Ilha_Bela,Canis_lupus_familiaris,10,21,1.983219981,1.201670051,0.40883401
Ilha_Bela,Canis_lupus_familiaris,6,41,1.983219981,1.201670051,0.40883401
Ilha_Bela,Canis_lupus_familiaris,10,59,1.983219981,1.201670051,0.40883401
Ilha_Bela,Canis_lupus_familiaris,7,25,1.983219981,1.201670051,0.40883401
Ilha_Bela,Canis_lupus_familiaris,8,21,1.983219981,1.201670051,0.40883401
Ilha_do_Cardoso,Canis_lupus_familiaris,6,45,0.269225001,0.023534499,0.0280379
Ilha_do_Cardoso,Canis_lupus_familiaris,23,51,0.269225001,0.023534499,0.0280379
Ilha_do_Cardoso,Canis_lupus_familiaris,5,8,0.269225001,0.023534499,0.0280379
Santa_Virginia_ITA,Canis_lupus_familiaris,0,34,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Canis_lupus_familiaris,1,18,0.045827098,0.0272626,0.029198799
Santa_Virginia_VG,Canis_lupus_familiaris,10,56,0.198026001,0.10723,0.083407298
Santa_Virginia_VG,Canis_lupus_familiaris,11,27,0.198026001,0.10723,0.083407298
Santa_Virginia_VG,Canis_lupus_familiaris,9,20,0.198026001,0.10723,0.083407298
Paranapanema,Canis_lupus_familiaris,15,23,0.348901004,0.040342402,0.037216399
Piracaia,Canis_lupus_familiaris,8,8,0.154033005,0.105757996,0.100703001
Piracaia,Canis_lupus_familiaris,10,20,0.154033005,0.105757996,0.100703001
Cristais_Paulista,Canis_lupus_familiaris,20,27,0.361802012,0.563796997,0.134693995
Cristais_Paulista,Canis_lupus_familiaris,10,28,0.361802012,0.563796997,0.134693995
Corumbatai,Canis_lupus_familiaris,8,35,0.461466014,0.591708004,0.639600992
Corumbatai,Canis_lupus_familiaris,8,32,0.461466014,0.591708004,0.639600992
Corumbatai,Canis_lupus_familiaris,8,45,0.461466014,0.591708004,0.639600992
Corumbatai,Canis_lupus_familiaris,8,51,0.461466014,0.591708004,0.639600992
Corumbatai,Canis_lupus_familiaris,16,59,0.461466014,0.591708004,0.639600992
Corumbatai,Canis_lupus_familiaris,11,24,0.461466014,0.591708004,0.639600992
Corumbatai,Canis_lupus_familiaris,10,43,0.461466014,0.591708004,0.639600992
Carlos_Botelho,Cuniculus_paca,0,49,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,1,1,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,19,56,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,20,2,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,1,46,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,3,49,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,20,39,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,38,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,1,39,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,1,54,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,3,2,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,23,20,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,4,7,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,18,54,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,19,53,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,19,51,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,21,50,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,21,47,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,23,41,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,19,56,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,21,53,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,22,32,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,23,6,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,17,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,2,38,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,23,29,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,22,22,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,18,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,20,4,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,4,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,23,44,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,27,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,19,52,0.0530174,0.100855,0.181837007
