Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
CAR	CARclosed1	CAR1	closed	0	0	0,606011172	0,79702466	22	0,93506006	1,845742214	7,683029984	5
CAR	CARopen1	CAR1	open	0	0	0,53755604	0,72981071	20	0,755928936	1,541808808	5,396778355	5
CAR	CARclosed10	CAR10	closed	0	0	0,619609689	0,66154089	56	0,435326911	0,996366732	3,252470926	7
CAR	CARopen10	CAR10	open	0	0	0,527964736	0,688142671	23	0,70490922	1,097446325	3,923138158	7
CAR	CARclosed11	CAR11	closed	0	0	0,558232113	0,691759999	24	0,63017663	1,360359025	4,724309137	6
CAR	CARopen11	CAR11	open	0	0	0,593382342	0,658888566	53	0,483781233	1,972399851	6,186352463	6
CAR	CARclosed12	CAR12	closed	0	0	0,573077066	0,735212735	19	0,649198812	1,25119005	4,58614447	7
CAR	CARopen12	CAR12	open	0	0	0,552296692	0,684453813	12	0,822261123	1,316987326	4,65405374	7
CAR	CARclosed14	CAR14	closed	0	0	0,615712482	0,892263704	20	0,80130021	1,918305958	7,21449955	2
CAR	CARopen14	CAR14	open	0	0	0,663952698	0,894679959	24	0,641574282	2,001018826	7,311839295	2
CAR	CARclosed15	CAR15	closed	0	0	0,637783467	0,829493406	5	NA	NA	NA	6
CAR	CARopen15	CAR15	open	0	0	0,561992968	0,742498604	13	0,71290124	1,565367505	5,283070218	6
CAR	CARclosed2	CAR2	closed	0	0	0,620744855	0,851283172	44	0,872944209	2,877279914	12,95910895	5
CAR	CARopen2	CAR2	open	0	0	0,624455828	0,793028667	64	0,627246721	2,26002679	9,403847874	5
CAR	CARclosed3	CAR3	closed	0	0	0,620058351	0,826109731	31	0,618704669	1,569511676	5,547289922	4
CAR	CARopen3	CAR3	open	0	0	0,536930142	0,6907243	20	0,628608835	1,362982979	4,811109691	4
CAR	CARclosed4	CAR4	closed	0	0	0,618038439	0,845458376	55	0,706122357	2,26273506	9,073890079	1
CAR	CARopen4	CAR4	open	0	0	0,671591893	0,923248608	42	0,613847598	2,057182454	7,435471816	1
CAR	CARclosed5	CAR5	closed	0	0	0,716291275	1,014423922	47	0,152863238	0,168926093	1,200336212	7
CAR	CARopen5	CAR5	open	0	0	0,559554564	0,76868897	49	0,67681149	1,77937119	6,487006697	7
CAR	CARclosed8	CAR8	closed	0	0	0,560206361	0,63396186	64	0,533876142	1,914924399	7,165591626	9
CAR	CARopen8	CAR8	open	0	0	0,610185897	0,751633033	57	0,41582835	0,893386077	2,805642546	9
CAR	CARclosed9	CAR9	closed	0	0	0,561883654	0,679637254	40	0,55294562	1,802667718	6,131980609	16
CAR	CARopen9	CAR9	open	0	0	0,551393127	0,773857018	25	0,788898641	1,637794126	6,541263669	16
CAR	CARclosed1	CAR1	closed	6	5	0,626952854	0,83204188	18	NA	NA	NA	5
CAR	CARopen1	CAR1	open	6	5	0,577357215	0,763811148	18	0,799593598	1,640397082	5,650648902	5
CAR	CARclosed10	CAR10	closed	6	5	0,569054443	0,555061836	54	0,458333507	1,073226829	3,561821219	7
CAR	CARopen10	CAR10	open	6	5	0,612224759	0,774255549	14	0,865616348	0,960128541	3,680679096	7
CAR	CARclosed11	CAR11	closed	6	5	0,538159803	0,630913808	24	0,602838497	1,209667049	4,14421832	6
CAR	CARopen11	CAR11	open	6	5	0,550834027	0,614558821	47	0,555461967	1,859831831	6,318652639	6
CAR	CARclosed12	CAR12	closed	6	5	0,53304016	0,63200894	28	0,49543165	1,332322534	4,143925203	7
CAR	CARopen12	CAR12	open	6	5	0,509429507	0,603763674	19	0,577483632	0,844981968	2,938864149	7
CAR	CARclosed14	CAR14	closed	6	5	0,612108359	0,826660233	21	0,818331282	2,093184982	8,149223549	2
CAR	CARopen14	CAR14	open	6	5	0,68031334	0,990630425	11	0,799593598	1,640397082	5,650648902	2
CAR	CARclosed15	CAR15	closed	6	5	0,561494844	0,5960621	12	0,758652375	1,215699211	4,324527372	6
CAR	CARopen15	CAR15	open	6	5	0,606689603	0,82409547	15	0,833881967	1,796052374	7,109685045	6
CAR	CARclosed2	CAR2	closed	6	5	0,623759725	0,871352443	37	0,897775171	2,753198055	12,9758505	5
CAR	CARopen2	CAR2	open	6	5	0,614351248	0,813042454	53	0,656336027	1,756764473	7,363054017	5
CAR	CARclosed3	CAR3	closed	6	5	0,6456788	0,882607361	28	0,628608835	1,362982979	4,811109691	4
CAR	CARopen3	CAR3	open	6	5	0,528350421	0,666102188	18	0,626459931	1,295298958	4,440020423	4
CAR	CARclosed4	CAR4	closed	6	5	0,643927264	0,898069554	53	0,713574516	2,196590378	8,840323198	1
CAR	CARopen4	CAR4	open	6	5	0,649893735	0,923991928	40	0,596266338	1,870116118	6,487012865	1
CAR	CARclosed5	CAR5	closed	6	5	0,706791093	1,007098045	50	0,18666836	0,232354428	1,290851858	7
CAR	CARopen5	CAR5	open	6	5	0,638286964	0,855467171	30	0,791937248	1,326305915	5,360819695	7
CAR	CARclosed8	CAR8	closed	6	5	0,572952655	0,66339862	64	0,528561295	1,861305667	6,938255844	9
CAR	CARopen8	CAR8	open	6	5	0,658749603	0,858764836	47	0,376077195	0,55890224	1,954447644	9
CAR	CARclosed9	CAR9	closed	6	5	0,562181473	0,627345829	50	0,451631843	1,340862634	4,202339261	16
CAR	CARopen9	CAR9	open	6	5	0,613459555	0,662813995	46	0,39684311	0,673281245	2,244316447	16
CAR	CARclosed1	CAR1	closed	12	12	0,62615107	0,815637678	14	NA	NA	NA	5
CAR	CARopen1	CAR1	open	12	12	0,582504916	0,766385721	12	NA	NA	NA	5
CAR	CARclosed10	CAR10	closed	12	12	0,566182221	0,617378194	42	0,519565083	1,256196204	4,339398637	7
CAR	CARopen10	CAR10	open	12	12	0,594521158	0,780421327	9	0,865616348	0,960128541	3,680679096	7
CAR	CARclosed11	CAR11	closed	12	12	0,519560874	0,631014639	22	0,652865406	1,182761658	4,251034968	6
CAR	CARopen11	CAR11	open	12	12	0,547005431	0,631169842	32	0,690155707	1,948313934	7,427075369	6
CAR	CARclosed12	CAR12	closed	12	12	0,527735709	0,669755991	19	0,559757716	1,257444677	3,929687208	7
CAR	CARopen12	CAR12	open	12	12	0,542171445	0,678750746	13	0,801227064	1,065442669	4,105061261	7
CAR	CARclosed14	CAR14	closed	12	12	0,606246867	0,809574648	21	0,818331282	2,093184982	8,149223549	2
CAR	CARopen14	CAR14	open	12	12	0,66348184	0,961792294	9	0,822261123	1,316987326	4,65405374	2
