Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
CBO	CBOclosed1	CBO1	closed	0	0	0,560879459	0,736299493	53	0,678282465	2,533008589	11,25172813	3
CBO	CBOopen1	CBO1	open	0	0	0,608531533	0,831319313	46	0,783615265	2,42957839	10,64015523	3
CBO	CBOclosed11	CBO11	closed	0	0	0,577376977	0,776871824	33	0,791826008	3,265550261	14,34892159	2
CBO	CBOopen11	CBO11	open	0	0	0,605457566	0,807461845	39	0,614198771	1,731812134	6,130270544	2
CBO	CBOclosed12	CBO12	closed	0	0	0,577783308	0,764307995	15	0,543906251	0,785157798	2,712228201	1
CBO	CBOopen12	CBO12	open	0	0	0,652011163	0,907750788	11	0,784431715	1,081096936	3,719842244	1
CBO	CBOclosed14	CBO14	closed	0	0	0,476986556	0,673501861	25	0,763807319	2,634116686	10,57958449	8
CBO	CBOopen14	CBO14	open	0	0	0,509921606	0,653485723	17	0,785283849	1,527173203	6,519533725	8
CBO	CBOclosed15	CBO15	closed	0	0	0,550258205	0,778387908	24	0,704160465	2,566517787	9,97287572	9
CBO	CBOopen15	CBO15	open	0	0	0,501908609	0,653081961	22	0,65204238	1,508333919	5,514406929	9
CBO	CBOclosed2	CBO2	closed	0	0	0,562199892	0,636934551	19	0,722218583	1,643488168	6,56782247	3
CBO	CBOopen2	CBO2	open	0	0	0,572695708	0,753221133	19	0,761936097	2,277891362	8,895867401	3
CBO	CBOclosed4	CBO4	closed	0	0	0,709156948	0,97254132	22	0,868398535	1,744970236	6,581423919	0
CBO	CBOopen4	CBO4	open	0	0	0,614343254	0,856327717	16	0,758652375	1,215699211	4,324527372	0
CBO	CBOclosed5	CBO5	closed	0	0	0,490388006	0,664688642	14	0,744558292	1,58501036	5,878448667	8
CBO	CBOopen5	CBO5	open	0	0	0,598797269	0,794880799	19	0,868496812	2,400106811	9,473141862	8
CBO	CBOclosed6	CBO6	closed	0	0	0,68501238	0,98137813	24	0,51094651	0,84591072	2,806642877	3
CBO	CBOopen6	CBO6	open	0	0	0,630037396	0,882223404	55	0,702106181	2,409025448	10,39450678	3
CBO	CBOclosed9	CBO9	closed	0	0	0,524408861	0,658505865	29	0,527326626	1,5532881	5,02692806	1
CBO	CBOopen9	CBO9	open	0	0	0,493241923	0,670730991	18	0,740040214	1,783928414	7,400043189	1
CBO	CBOclosed1	CBO1	closed	6	6	0,566737237	0,747508624	54	0,684928633	2,690529252	12,28717768	3
CBO	CBOopen1	CBO1	open	6	6	0,575966474	0,807606296	46	0,736136396	2,399518148	10,03927039	3
CBO	CBOclosed11	CBO11	closed	6	6	0,577267481	0,777099091	33	0,791826008	3,265550261	14,34892159	2
CBO	CBOopen11	CBO11	open	6	6	0,618043599	0,820882489	39	0,614198771	1,731812134	6,130270544	2
CBO	CBOclosed12	CBO12	closed	6	6	0,575045532	0,761030489	15	0,543906251	0,785157798	2,712228201	1
CBO	CBOopen12	CBO12	open	6	6	0,717838608	1,01052035	14	0,657365571	0,997804993	3,542680089	1
CBO	CBOclosed14	CBO14	closed	6	6	0,481721561	0,674439099	24	0,763807319	2,634116686	10,57958449	8
CBO	CBOopen14	CBO14	open	6	6	0,483008756	0,632757657	17	0,785283849	1,527173203	6,519533725	8
CBO	CBOclosed15	CBO15	closed	6	6	0,552237921	0,784630713	25	0,708474947	2,771175519	11,01454413	9
CBO	CBOopen15	CBO15	open	6	6	0,509338375	0,675983572	20	0,67284657	1,396287979	5,303593231	9
CBO	CBOclosed2	CBO2	closed	6	6	0,532393021	0,609372008	20	0,713461215	1,734494189	6,865253496	3
CBO	CBOopen2	CBO2	open	6	6	0,580544171	0,754457177	19	0,761936097	2,277891362	8,895867401	3
CBO	CBOclosed4	CBO4	closed	6	6	0,7126508	0,979694974	21	0,8145598	1,613074765	6,16101755	0
CBO	CBOopen4	CBO4	open	6	6	0,625592344	0,866116984	15	0,790208549	1,420283328	5,230029146	0
CBO	CBOclosed5	CBO5	closed	6	6	0,503650316	0,690647339	16	0,74637775	1,858308577	6,957308065	8
CBO	CBOopen5	CBO5	open	6	6	0,591497357	0,77375121	19	0,868496812	2,400106811	9,473141862	8
CBO	CBOclosed6	CBO6	closed	6	6	0,686600163	0,983271495	24	0,51094651	0,84591072	2,806642877	3
CBO	CBOopen6	CBO6	open	6	6	0,637997047	0,893587217	56	0,713208988	2,522022237	11,20069134	3
CBO	CBOclosed9	CBO9	closed	6	6	0,527381775	0,65059555	29	0,511865304	1,572959186	5,002922492	1
CBO	CBOopen9	CBO9	open	6	6	0,479993108	0,658601501	19	0,755798602	1,919289477	8,254801821	1
CBO	CBOclosed1	CBO1	closed	12	12	0,564768789	0,745613467	53	0,684928633	2,690529252	12,28717768	3
CBO	CBOopen1	CBO1	open	12	12	0,582787069	0,811634255	46	0,722034512	2,273830378	9,194310214	3
CBO	CBOclosed11	CBO11	closed	12	12	0,571241188	0,768982886	34	0,791826008	3,265550261	14,34892159	2
CBO	CBOopen11	CBO11	open	12	12	0,619324171	0,790471943	43	0,596475652	1,910188309	6,695729877	2
CBO	CBOclosed12	CBO12	closed	12	12	0,573535576	0,759699789	14	0,543906251	0,785157798	2,712228201	1
CBO	CBOopen12	CBO12	open	12	12	0,7259176	1,009993096	14	0,70490922	1,097446325	3,923138158	1
CBO	CBOclosed14	CBO14	closed	12	12	0,500936336	0,702322268	25	0,783154426	2,817781377	11,74308555	8
CBO	CBOopen14	CBO14	open	12	12	0,432021219	0,576692488	18	0,768178896	1,657464199	6,835097323	8
CBO	CBOclosed15	CBO15	closed	12	12	0,556712574	0,787660567	25	0,708474947	2,771175519	11,01454413	9
CBO	CBOopen15	CBO15	open	12	12	0,477439342	0,634563067	22	0,65204238	1,508333919	5,514406929	9
CBO	CBOclosed2	CBO2	closed	12	12	0,531622736	0,61312994	20	0,713461215	1,734494189	6,865253496	3
CBO	CBOopen2	CBO2	open	12	12	0,580499769	0,75989977	21	0,77566463	2,434158379	9,791901364	3
CBO	CBOclosed4	CBO4	closed	12	12	0,711446665	0,980385085	20	0,8145598	1,613074765	6,16101755	0
CBO	CBOopen4	CBO4	open	12	12	0,59453268	0,827864175	17	0,8145598	1,613074765	6,16101755	0
