Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITAclosed1	ITA1	closed	0	0	0,477798716	0,588235033	18	0,436476984	1,343256577	4,173259845	20
ITA	ITAopen1	ITA1	open	0	0	0,366399319	0,315214306	13	0,30880178	0,927894689	2,586424448	20
ITA	ITAclosed10	ITA10	closed	0	0	0,733681682	1,144629694	5	0,478524108	0,803784725	2,497216666	5
ITA	ITAopen10	ITA10	open	0	0	0,558153188	0,335693967	3	0,6600139	0,754552201	2,644135772	5
ITA	ITAclosed12	ITA12	closed	0	0	0,657494388	0,482593369	1	NA	NA	NA	21
ITA	ITAopen12	ITA12	open	0	0	0,619334005	0,804659361	7	0,575854978	1,045380606	3,517424285	21
ITA	ITAclosed14	ITA14	closed	0	0	0,582160125	0,764102617	6	0,624260812	1,010425499	3,556878195	5
ITA	ITAopen14	ITA14	open	0	0	0,563998771	0,44451826	4	0,672062204	0,691168686	2,700418534	5
ITA	ITAclosed15	ITA15	closed	0	0	0,609331065	0,614121429	28	0,256389342	1,130364924	3,01267862	8
ITA	ITAopen15	ITA15	open	0	0	0,404000148	0,43503645	13	0,263031886	0,814451567	2,282079477	8
ITA	ITAclosed2	ITA2	closed	0	0	0,582040398	0,792687479	11	0,473164119	1,173232282	3,628851347	11
ITA	ITAopen2	ITA2	open	0	0	0,450255044	0,514108528	15	0,456606998	1,222813052	3,848247092	11
ITA	ITAclosed4	ITA4	closed	0	0	0,596825141	0,833092373	14	0,543513067	1,195971855	4,233907886	6
ITA	ITAopen4	ITA4	open	0	0	0,328280391	0,442163447	11	0,441201348	1,147131053	3,422830827	6
ITA	ITAclosed6	ITA6	closed	0	0	0,483485347	0,506221116	6	0,426742899	0,809157873	2,446488275	14
ITA	ITAopen6	ITA6	open	0	0	0,500283877	0,692663108	21	0,378351831	1,358153898	3,969480123	14
ITA	ITAclosed8	ITA8	closed	0	0	0,478543889	0,474916522	15	0,362143689	1,045019788	3,014431534	12
ITA	ITAopen8	ITA8	open	0	0	0,493842815	0,70470054	13	0,474291688	0,942347709	3,099600782	12
ITA	ITAclosed1	ITA1	closed	6	6	0,457604198	0,62538352	17	0,451074365	1,331917759	4,193425496	20
ITA	ITAopen1	ITA1	open	6	6	0,319951985	0,306472255	12	0,325389325	0,931518584	2,616468046	20
ITA	ITAclosed10	ITA10	closed	6	6	0,496710141	0,64879119	10	0,451878503	1,010215719	3,103773677	5
ITA	ITAopen10	ITA10	open	6	6	0,534498334	0,337347309	4	0,550978757	0,790633752	2,563169777	5
ITA	ITAclosed12	ITA12	closed	6	6	0,699539869	0,452181311	1	NA	NA	NA	21
ITA	ITAopen12	ITA12	open	6	6	0,582496023	0,720740332	8	0,543011326	1,073479966	3,519235407	21
ITA	ITAclosed14	ITA14	closed	6	6	0,734062612	1,030654102	28	0,250570936	1,077245907	2,883205246	5
ITA	ITAopen14	ITA14	open	6	6	0,646221059	0,77392222	10	0,5521783	1,145400029	3,905526091	5
ITA	ITAclosed15	ITA15	closed	6	6	0,564204939	0,608454282	28	0,324016854	1,054888589	3,067682665	8
ITA	ITAopen15	ITA15	open	6	6	0,388611519	0,42173152	13	0,263031886	0,814451567	2,282079477	8
ITA	ITAclosed2	ITA2	closed	6	6	0,605055378	0,844084818	19	0,415930751	1,271378611	3,890062403	11
ITA	ITAopen2	ITA2	open	6	6	0,391603485	0,48082738	17	0,42177889	1,232554884	3,760849039	11
ITA	ITAclosed4	ITA4	closed	6	6	0,636080879	0,880140011	19	0,491642868	1,324782645	4,509111851	6
ITA	ITAopen4	ITA4	open	6	6	0,360200103	0,502258813	13	0,455673455	1,177379154	3,647172148	6
ITA	ITAclosed6	ITA6	closed	6	6	0,448346232	0,470993013	9	0,392693038	0,943395457	2,739031647	14
ITA	ITAopen6	ITA6	open	6	6	0,500524089	0,686488148	21	0,378351831	1,358153898	3,969480123	14
ITA	ITAclosed8	ITA8	closed	6	6	0,433460942	0,474218186	16	0,349019848	1,042728094	2,98515528	12
ITA	ITAopen8	ITA8	open	6	6	0,476717501	0,6679242	13	0,474291688	0,942347709	3,099600782	12
ITA	ITAclosed1	ITA1	closed	12	12	0,436381991	0,575011116	20	0,43942433	1,31880503	4,184120204	20
ITA	ITAopen1	ITA1	open	12	12	0,329413904	0,303430538	11	0,344425376	0,935390254	2,651111694	20
ITA	ITAclosed10	ITA10	closed	12	12	0,515898581	0,653090541	10	0,451878503	1,010215719	3,103773677	5
ITA	ITAopen10	ITA10	open	12	12	0,518353493	0,311181906	4	0,550978757	0,790633752	2,563169777	5
ITA	ITAclosed12	ITA12	closed	12	12	0,645036266	0,48063086	2	NA	NA	NA	21
ITA	ITAopen12	ITA12	open	12	12	0,628787469	0,805208138	7	0,575854978	1,045380606	3,517424285	21
ITA	ITAclosed14	ITA14	closed	12	12	0,724364277	1,015112204	35	0,231848139	1,073614928	2,861110405	5
ITA	ITAopen14	ITA14	open	12	12	0,653854758	0,764446967	7	0,596530917	1,124143545	3,823076461	5
ITA	ITAclosed15	ITA15	closed	12	12	0,568975439	0,593817674	31	0,305564901	1,05616714	3,031098828	8
ITA	ITAopen15	ITA15	open	12	12	0,440573809	0,474279553	14	0,251024523	0,814616917	2,270403342	8
ITA	ITAclosed2	ITA2	closed	12	12	0,613699472	0,837314776	21	0,407725898	1,342083193	4,091304479	11
ITA	ITAopen2	ITA2	open	12	12	0,404557863	0,457346326	19	0,437839278	1,065909357	3,418900768	11
ITA	ITAclosed4	ITA4	closed	12	12	0,637575366	0,874291561	20	0,512278768	1,282102078	4,544079884	6
ITA	ITAopen4	ITA4	open	12	12	0,428873999	0,511166537	14	0,426083945	1,251127717	3,728790125	6
ITA	ITAclosed6	ITA6	closed	12	12	0,469547001	0,567661143	15	0,408299499	1,095189222	3,297228085	14
ITA	ITAopen6	ITA6	open	12	12	0,557991452	0,742748588	16	0,444959408	1,304719945	4,044442254	14
ITA	ITAclosed8	ITA8	closed	12	12	0,434054031	0,505884081	17	0,339452104	1,065216948	3,020605259	12
ITA	ITAopen8	ITA8	open	12	12	0,512499798	0,697393743	14	0,466792339	0,95275913	3,122352346	12
ITA	ITAclosed1	ITA1	closed	18	18	0,427930375	0,566740063	22	0,430563895	1,320356224	4,188768922	20
ITA	ITAopen1	ITA1	open	18	18	0,391742341	0,473145812	10	0,47084795	1,151978021	3,512440403	20
ITA	ITAclosed10	ITA10	closed	18	18	0,482719912	0,642255002	10	0,451878503	1,010215719	3,103773677	5
ITA	ITAopen10	ITA10	open	18	18	0,640164595	0,439389959	2	0,816023395	0,691168686	2,700418534	5
ITA	ITAclosed12	ITA12	closed	18	18	0,484560229	0,454310871	5	NA	NA	NA	21
