Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	eucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITAclosed1	ITA1	closed	0	0	0,496038661	6,367441938	23	0,560092058	1,690746987	5,296858471	20
ITA	ITAopen1	ITA1	open	0	0	0,448740225	5,644609879	35	0,475288802	0,680423285	2,339009738	20
ITA	ITAclosed10	ITA10	closed	0	0	0,72882725	5,253825128	8	0,586987313	0,524874714	2,029931578	5
ITA	ITAopen10	ITA10	open	0	0	0,571528952	4,199346306	9	0,816023395	0,691168686	2,700418534	5
ITA	ITAclosed12	ITA12	closed	0	0	0,660007083	2,945154303	3	NA	NA	NA	21
ITA	ITAopen12	ITA12	open	0	0	0,604665451	4,66923129	12	0,716537372	0,996023003	3,456414214	21
ITA	ITAclosed14	ITA14	closed	0	0	0,58684595	2,789545472	13	0,784431715	1,081096936	3,719842244	5
ITA	ITAopen14	ITA14	open	0	0	0,560571869	4,178212798	11	NA	NA	NA	5
ITA	ITAclosed15	ITA15	closed	0	0	0,619516826	16,79118363	32	0,367177988	1,146991752	3,284144191	8
ITA	ITAopen15	ITA15	open	0	0	0,471415836	6,842008953	20	0,397560824	0,483554292	1,806788937	8
ITA	ITAclosed2	ITA2	closed	0	0	0,583547862	5,91432598	13	0,683605866	1,241162226	4,638365921	11
ITA	ITAopen2	ITA2	open	0	0	0,492121649	4,246305118	31	0,62850375	1,764480053	6,03012249	11
ITA	ITAclosed4	ITA4	closed	0	0	0,599433229	5,300321727	16	0,682469659	1,824154348	6,299358395	6
ITA	ITAopen4	ITA4	open	0	0	0,453459985	3,541051919	23	0,654268445	1,417235559	5,181815304	6
ITA	ITAclosed6	ITA6	closed	0	0	0,525544511	3,095167306	12	0,61298456	0,807442136	2,837287944	14
ITA	ITAopen6	ITA6	open	0	0	0,522049146	8,837162522	40	0,530426246	1,67453388	5,428929434	14
ITA	ITAclosed8	ITA8	closed	0	0	0,4999943	7,101256024	27	0,433203998	0,867352463	2,65701371	12
ITA	ITAopen8	ITA8	open	0	0	0,551575908	5,397452176	31	0,589223088	1,601269321	5,346865087	12
ITA	ITAclosed1	ITA1	closed	6	6	0,478858386	5,20196259	22	0,57785708	1,725320154	5,43523839	20
ITA	ITAopen1	ITA1	open	6	6	0,420442893	4,164543119	33	0,502511986	0,722508746	2,486409757	20
ITA	ITAclosed10	ITA10	closed	6	6	0,525073945	4,096283368	13	0,536732493	0,993826203	3,081579584	5
ITA	ITAopen10	ITA10	open	6	6	0,559626006	3,952075925	10	0,683570533	0,599262712	2,311619388	5
ITA	ITAclosed12	ITA12	closed	6	6	0,69389171	5,143453718	4	NA	NA	NA	21
ITA	ITAopen12	ITA12	open	6	6	0,572844408	4,455395294	12	0,654785895	1,048927437	3,411627202	21
ITA	ITAclosed14	ITA14	closed	6	6	0,718805562	22,74620047	34	0,287814033	0,381125503	1,553764717	5
ITA	ITAopen14	ITA14	open	6	6	0,636802122	5,816429231	17	0,71290124	1,565367505	5,283070218	5
ITA	ITAclosed15	ITA15	closed	6	6	0,580946576	14,48213915	34	0,392279656	1,20668089	3,528652417	8
ITA	ITAopen15	ITA15	open	6	6	0,474275767	6,392054027	21	0,440226127	0,612281327	2,130506764	8
ITA	ITAclosed2	ITA2	closed	6	6	0,603737758	10,10883161	22	0,612984083	1,461078161	5,415225751	11
ITA	ITAopen2	ITA2	open	6	6	0,44547911	4,49876716	34	0,592865264	1,59993609	5,464690265	11
ITA	ITAclosed4	ITA4	closed	6	6	0,630741197	7,628173259	23	0,626918362	1,932031125	6,670768746	6
ITA	ITAopen4	ITA4	open	6	6	0,496674285	4,9043575	29	0,644379577	1,861633227	6,852181027	6
ITA	ITAclosed6	ITA6	closed	6	6	0,506284993	3,361243067	17	0,615599448	1,003179653	3,553736923	14
ITA	ITAopen6	ITA6	open	6	6	0,518425558	8,766325939	41	0,530426246	1,67453388	5,428929434	14
ITA	ITAclosed8	ITA8	closed	6	6	0,472390435	6,207747109	31	0,456270899	0,968599657	2,98330618	12
ITA	ITAopen8	ITA8	open	6	6	0,536955271	5,209407586	31	0,589223088	1,601269321	5,346865087	12
ITA	ITAclosed1	ITA1	closed	12	12	0,458104664	5,126668681	26	0,571269899	1,843212799	6,037109386	20
ITA	ITAopen1	ITA1	open	12	12	0,446714672	3,98814558	33	0,573330638	0,908157126	3,185658593	20
ITA	ITAclosed10	ITA10	closed	12	12	0,540140747	4,390350286	12	0,536732493	0,993826203	3,081579584	5
ITA	ITAopen10	ITA10	open	12	12	0,555206202	3,387483832	9	0,683570533	0,599262712	2,311619388	5
ITA	ITAclosed12	ITA12	closed	12	12	0,648187427	5,353667789	6	0,816023395	0,691168686	2,700418534	21
ITA	ITAopen12	ITA12	open	12	12	0,614892033	4,770346986	11	0,716537372	0,996023003	3,456414214	21
ITA	ITAclosed14	ITA14	closed	12	12	0,712049803	28,58197904	42	0,27400345	0,366649744	1,524739429	5
ITA	ITAopen14	ITA14	open	12	12	0,651303188	5,389559329	14	0,832246707	1,271609457	5,063497369	5
ITA	ITAclosed15	ITA15	closed	12	12	0,587553652	16,11737429	38	0,395653208	1,164513133	3,487457365	8
ITA	ITAopen15	ITA15	open	12	12	0,510373884	8,0292746	24	0,457399249	0,699461367	2,372008715	8
ITA	ITAclosed2	ITA2	closed	12	12	0,614479699	11,21976866	25	0,613012391	1,50634233	5,692803712	11
ITA	ITAopen2	ITA2	open	12	12	0,456447491	5,988060549	40	0,551082735	1,373508638	4,62396729	11
ITA	ITAclosed4	ITA4	closed	12	12	0,641057146	7,959101584	27	0,649157157	2,431146905	8,620220154	6
ITA	ITAopen4	ITA4	open	12	12	0,517016153	5,523244095	27	0,609012594	1,966707836	6,659774131	6
ITA	ITAclosed6	ITA6	closed	12	12	0,510373813	5,037051884	22	0,5936861	1,271394388	4,494234061	14
ITA	ITAopen6	ITA6	open	12	12	0,558135727	7,140620884	36	0,609820958	1,750140568	6,024718381	14
ITA	ITAclosed8	ITA8	closed	12	12	0,463848075	6,143890753	31	0,400227039	0,883010045	2,636965724	12
ITA	ITAopen8	ITA8	open	12	12	0,557920969	6,022405026	30	0,568133626	1,634387884	5,322188442	12
ITA	ITAclosed1	ITA1	closed	18	18	0,447005535	5,370047475	29	0,547781604	1,858404546	5,998549839	20
ITA	ITAopen1	ITA1	open	18	18	0,485302515	2,735450394	24	0,742137614	1,416697892	5,856034723	20
