Site	UniquePair	UnPlot	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITA1	ITAclosed1	closed	0	0	0,665819801	0,940376925	1	NA	NA	NA	20
ITA	ITA1	ITAopen1	open	0	0	0,65014988	0,897555996	3	0,755976311	0,843149336	3,179021609	20
ITA	ITA10	ITAclosed10	closed	0	0	0,665818272	0,940377021	1	NA	NA	NA	5
ITA	ITA10	ITAopen10	open	0	0	0,681749612	0,979655681	1	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	0	0	NA	NA	0	NA	NA	NA	21
ITA	ITA12	ITAopen12	open	0	0	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	0	0	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	0	0	NA	NA	0	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	0	0	0,66581847	0,940377007	4	0,661387626	0,893204375	3,134115302	8
ITA	ITA15	ITAopen15	open	0	0	0,635457647	0,923626419	3	0,6600139	0,754552201	2,644135772	8
ITA	ITA2	ITAclosed2	closed	0	0	0,600995667	0,855644825	2	0,816023395	0,691168686	2,700418534	11
ITA	ITA2	ITAopen2	open	0	0	0,635457647	0,923626419	3	0,755976311	0,843149336	3,179021609	11
ITA	ITA4	ITAclosed4	closed	0	0	0,665818272	0,940377021	1	NA	NA	NA	6
ITA	ITA4	ITAopen4	open	0	0	0,62406401	0,865811416	5	0,576366925	0,931862568	3,040046756	6
ITA	ITA6	ITAclosed6	closed	0	0	0,600995667	0,855644825	3	0,6600139	0,754552201	2,644135772	14
ITA	ITA6	ITAopen6	open	0	0	0,621230529	0,828845765	4	0,550978757	0,790633752	2,563169777	14
ITA	ITA8	ITAclosed8	closed	0	0	0,665820216	0,940377893	1	NA	NA	NA	12
ITA	ITA8	ITAopen8	open	0	0	0,595627247	0,788581612	6	0,58936851	1,038600945	3,454510647	12
ITA	ITA1	ITAclosed1	closed	6	6	0,662045216	0,935633909	1	NA	NA	NA	20
ITA	ITA1	ITAopen1	open	6	6	0,651873342	0,90095588	3	0,755976311	0,843149336	3,179021609	20
ITA	ITA10	ITAclosed10	closed	6	6	0,662057626	0,935667501	1	NA	NA	NA	5
ITA	ITA10	ITAopen10	open	6	6	0,678865031	0,971183438	1	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	6	6	NA	NA	0	NA	NA	NA	21
ITA	ITA12	ITAopen12	open	6	6	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	6	6	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	6	6	0,678833822	0,971161344	1	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	6	6	0,662052684	0,935634548	4	0,661387626	0,893204375	3,134115302	8
ITA	ITA15	ITAopen15	open	6	6	0,645139972	0,928465852	4	0,661387626	0,893204375	3,134115302	8
ITA	ITA2	ITAclosed2	closed	6	6	0,618619503	0,877847723	3	0,755976311	0,843149336	3,179021609	11
ITA	ITA2	ITAopen2	open	6	6	0,645289732	0,928443168	3	0,755976311	0,843149336	3,179021609	11
ITA	ITA4	ITAclosed4	closed	6	6	0,662057626	0,935667501	1	NA	NA	NA	6
ITA	ITA4	ITAopen4	open	6	6	0,641797475	0,895995025	8	0,530552771	1,068043135	3,448599661	6
ITA	ITA6	ITAclosed6	closed	6	6	0,618611056	0,877910525	4	0,661387626	0,893204375	3,134115302	14
