Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
VGM	VGMclosed1	VGM1	closed	0	0	0,619494577	0,722002082	12	0,608484737	0,668649437	2,411542305	9
VGM	VGMopen1	VGM1	open	0	0	0,647767157	0,764569397	8	0,816023395	0,691168686	2,700418534	9
VGM	VGMclosed10	VGM10	closed	0	0	0,523769156	0,719492207	38	0,600697981	2,673608813	9,852517765	5
VGM	VGMopen10	VGM10	open	0	0	0,493119709	0,61499046	21	0,755928936	1,541808808	5,396778355	5
VGM	VGMclosed11	VGM11	closed	0	0	0,465368417	0,599685004	42	0,494797566	1,312073431	4,012144142	7
VGM	VGMopen11	VGM11	open	0	0	0,641303622	0,462752896	107	0,200190586	0,380129784	1,51889826	7
VGM	VGMclosed12	VGM12	closed	0	0	0,541947432	0,764008735	32	0,649680994	1,627785222	6,150437835	26
VGM	VGMopen12	VGM12	open	0	0	0,631670793	0,8677906	28	0,669234879	1,727067411	6,554208287	26
VGM	VGMclosed14	VGM14	closed	0	0	0,524588545	0,691815691	55	0,482111788	1,666132216	5,377803435	25
VGM	VGMopen14	VGM14	open	0	0	0,571424434	0,503012342	55	0,331125289	0,593568757	1,997397511	25
VGM	VGMclosed15	VGM15	closed	0	0	0,657658223	0,765098141	21	0,755928936	1,541808808	5,396778355	23
VGM	VGMopen15	VGM15	open	0	0	0,597203131	0,77039194	17	0,769310725	1,425643305	4,732988952	23
VGM	VGMclosed4	VGM4	closed	0	0	0,490015878	0,625429573	69	0,519098179	2,389938289	8,021442831	0
VGM	VGMopen4	VGM4	open	0	0	0,558282147	0,721276221	50	0,587097777	1,278745107	4,699537843	0
VGM	VGMclosed5	VGM5	closed	0	0	0,513181253	0,696885679	76	0,632684557	1,766686236	7,204317002	8
VGM	VGMopen5	VGM5	open	0	0	0,583184725	0,792940753	29	0,766122446	2,397214711	9,523906703	8
VGM	VGMclosed6	VGM6	closed	0	0	0,559616627	0,721080134	46	0,78169416	2,303979175	9,99573524	7
VGM	VGMopen6	VGM6	open	0	0	0,587739349	0,505326223	79	0,387964728	0,837000056	2,702059919	7
VGM	VGMclosed7	VGM7	closed	0	0	0,540128695	0,700914635	49	0,546404831	2,655793863	9,100377194	0
VGM	VGMopen7	VGM7	open	0	0	0,511696558	0,584972829	39	0,458209712	0,987090876	2,927066682	0
VGM	VGMclosed8	VGM8	closed	0	0	0,505105365	0,652877425	36	0,735599905	2,014122919	8,788602448	4
VGM	VGMopen8	VGM8	open	0	0	0,482894095	0,611453823	38	0,723064844	1,871756255	7,137907816	4
VGM	VGMclosed9	VGM9	closed	0	0	0,448334451	0,576855872	113	0,568975853	1,595672262	5,695044106	17
VGM	VGMopen9	VGM9	open	0	0	0,543012342	0,636242977	31	0,450121771	1,031568538	3,078112702	17
VGM	VGMclosed1	VGM1	closed	6	6	0,653426191	0,767677786	9	0,6600139	0,754552201	2,644135772	9
VGM	VGMopen1	VGM1	open	6	6	0,713234472	0,932415336	9	0,683570533	0,599262712	2,311619388	9
VGM	VGMclosed10	VGM10	closed	6	6	0,577558529	0,770883614	38	0,612774499	2,709507294	10,05809795	5
VGM	VGMopen10	VGM10	open	6	6	0,555069804	0,681125479	23	0,790208549	1,420283328	5,230029146	5
VGM	VGMclosed11	VGM11	closed	6	6	0,460103805	0,578593452	47	0,538288802	1,596280602	5,234273846	7
VGM	VGMopen11	VGM11	open	6	6	0,619809363	0,491488685	110	0,215882186	0,462334555	1,663856047	7
VGM	VGMclosed12	VGM12	closed	6	6	0,555294681	0,78322535	33	0,649680994	1,627785222	6,150437835	26
VGM	VGMopen12	VGM12	open	6	6	0,633643321	0,852429971	28	0,669234879	1,727067411	6,554208287	26
VGM	VGMclosed14	VGM14	closed	6	6	0,537449743	0,725561964	52	0,511921055	1,724670139	5,752006502	25
VGM	VGMopen14	VGM14	open	6	6	0,55040825	0,527840731	59	0,339520958	0,687419276	2,21495213	25
VGM	VGMclosed15	VGM15	closed	6	6	0,653956586	0,798688711	24	0,740329778	1,749987456	6,142265373	23
VGM	VGMopen15	VGM15	open	6	6	0,630524926	0,822393597	17	0,760062193	1,740920028	5,742482312	23
VGM	VGMclosed4	VGM4	closed	6	6	0,489769333	0,613447855	70	0,519098179	2,389938289	8,021442831	0
VGM	VGMopen4	VGM4	open	6	6	0,583076504	0,76232088	50	0,587097777	1,278745107	4,699537843	0
VGM	VGMclosed5	VGM5	closed	6	6	0,516723995	0,68380115	72	0,631251498	1,796893402	7,450793029	8
VGM	VGMopen5	VGM5	open	6	6	0,599650164	0,796909717	36	0,741211217	2,457915579	9,447972263	8
VGM	VGMclosed6	VGM6	closed	6	6	0,578598019	0,739192925	44	0,805916048	2,486782432	10,56843379	7
VGM	VGMopen6	VGM6	open	6	6	0,55611202	0,513680537	72	0,402700525	0,882718441	2,86138534	7
VGM	VGMclosed7	VGM7	closed	6	6	0,530829961	0,670981632	57	0,521589288	2,677264325	8,99046007	0
VGM	VGMopen7	VGM7	open	6	6	0,512693177	0,571531815	42	0,420602225	0,974364865	2,840468155	0
VGM	VGMclosed8	VGM8	closed	6	6	0,536193862	0,667952877	38	0,758240535	2,147620084	9,391426144	4
VGM	VGMopen8	VGM8	open	6	6	0,494791966	0,589638332	36	0,697242302	1,754071889	6,690441911	4
VGM	VGMclosed9	VGM9	closed	6	6	0,458594328	0,560253347	124	0,558619391	1,693474191	6,054970048	17
VGM	VGMopen9	VGM9	open	6	6	0,53774659	0,617163283	37	0,480733535	1,281121377	3,899017818	17
VGM	VGMclosed1	VGM1	closed	12	12	0,69560134	0,822801322	7	0,72618352	0,825167336	2,824480462	9
VGM	VGMopen1	VGM1	open	12	12	0,689061009	0,854930976	9	NA	NA	NA	9
VGM	VGMclosed10	VGM10	closed	12	12	0,556707023	0,734238742	43	0,629986232	3,07739606	12,22062032	5
VGM	VGMopen10	VGM10	open	12	12	0,549435493	0,698217413	26	0,679732137	1,489359179	5,040454702	5
VGM	VGMclosed11	VGM11	closed	12	12	0,484675462	0,601073813	51	0,507580761	1,697064062	5,390754049	7
VGM	VGMopen11	VGM11	open	12	12	0,598683436	0,45235315	114	0,255275956	0,656393956	2,065259285	7
