Species	Ab_openT0	Ab_openT5	Ab_openT12	Ab_openT17	Ab_openT24	Ab_openT29	Ab_openT36	Ab_openT41	Ab_openT49	Ab_openT56	Ab_openT60	Ab_openT67	Ab_openT73
Astrocaryumaculeatissimum	0	0	0	0	0	0	1	1	1	1	1	2	2
Calophyllumbrasiliense	1	1	1	0	0	0	0	0	0	0	0	0	0
Cupaniaoblongifolia	1	0	0	0	0	0	0	0	0	0	0	0	0
Chionanthusfiliformis	6	4	3	3	3	3	3	3	2	2	2	2	2
Chrysophyllumflexuosum	2	2	2	2	1	1	1	1	1	1	1	1	1
Endlicheriapaniculata	1	1	1	1	1	1	1	1	1	1	1	0	0
Eugeniacuprea	26	24	19	19	19	21	22	28	29	28	29	24	29
Eugeniamosenii	1	1	1	1	1	1	1	1	1	1	1	1	1
Eugeniamulticostata	2	1	0	1	1	1	0	2	3	2	2	1	1
Eugenianeoaustralis	3	3	3	3	2	2	1	1	1	1	1	1	1
Eugeniaoblongata	1	1	1	1	1	1	1	1	1	1	1	0	0
Eugeniapruinosa	2	1	1	1	1	1	1	1	1	1	1	0	0
Eugeniasulcata	1	0	0	0	0	0	0	0	0	0	0	0	0
Euterpeedulis	46	54	33	29	51	72	70	67	60	51	50	40	38
Garciniagardneriana	14	7	5	5	6	8	8	7	6	5	5	4	4
Geonomaelegans	7	3	3	3	3	3	2	1	1	1	1	1	1
Geonomapauciflora	4	4	4	4	4	4	4	4	4	4	4	4	4
Gomidesiaspectabilis	3	3	1	1	1	1	0	0	0	0	0	0	0
Gomidesiatijucensis	1	1	1	1	1	1	1	1	1	1	0	0	0
Guapiraopposita	1	0	0	0	0	1	0	0	0	0	0	0	0
Guareamacrophylla	3	3	2	2	3	2	2	2	2	2	2	2	2
Guatteriaaustralis	1	0	0	0	0	0	0	0	0	0	0	0	0
Heisteriasilvianii	2	2	2	2	2	2	1	1	1	1	1	0	0
Hirtellahebeclada	1	1	1	1	1	1	1	1	1	1	1	2	3
Lacistemapubescens	2	1	0	0	0	0	0	0	0	0	0	0	0
Marliereaobscura	4	4	2	2	2	2	2	2	1	1	1	1	1
Marliereatomentosa	1	1	1	1	1	1	1	1	1	1	1	1	1
Mataybaguianensis	1	0	0	0	0	0	0	0	0	0	0	0	0
Maytenusrobusta	1	1	0	0	0	0	0	0	0	0	0	0	0
Mollinediaschottiana	9	9	9	8	7	5	5	5	4	4	4	3	3
Myrceugeniamyrcioides	3	2	2	2	2	2	1	0	0	0	0	0	0
Neomaricacandida	1	1	1	1	1	1	1	1	1	1	1	1	1
Ocoteadispersa	3	3	2	2	1	1	1	1	1	1	1	1	1
Ourateaparviflora	1	1	1	1	1	1	1	1	1	1	1	1	1
Parinariexcelsa	1	1	0	0	0	0	0	0	0	0	0	0	0
Pausandramorisiana	2	1	0	0	0	0	0	0	0	0	0	0	0
Psychotriamapourioides	1	1	1	1	1	1	1	1	1	1	1	1	1
Psychotrianuda	30	27	23	23	22	23	21	22	20	19	19	19	21
Pterocarpusviolaceus	1	1	1	1	1	0	0	0	0	0	0	0	0
Rudgeajasminoides	15	14	9	10	10	11	13	12	12	10	10	8	8
Sloaneaguianensis	5	5	4	4	5	4	3	3	3	3	3	2	3
Soroceabonplandii	2	2	2	2	2	3	2	1	1	1	1	0	0
Strychnostrinervis	1	1	1	1	1	1	1	0	0	0	0	0	0
Syagrusromanzoffiana	1	0	0	0	0	2	2	2	2	2	2	2	2
Tapiriraguianensis	6	2	1	1	1	1	0	0	0	0	0	0	0
Virolabicuhyba	1	1	1	1	1	1	1	1	1	2	2	2	1
Virolagardneri	0	1	0	0	0	0	0	0	0	0	0	0	0
Vochysiabifalcata	3	2	0	0	0	0	0	0	0	0	0	0	0
Xylosmaglaberrima	0	1	1	1	1	1	1	1	1	1	1	1	0
