Species	Ab_closedT0	Ab_closedT6	Ab_closedT12	Ab_closedT18	Ab_closedT24	Ab_closedT30	Ab_closedT36	Ab_closedT42	Ab_closedT48	Ab_closedT74	Ab_closedT81	Ab_closedT87
Abutaselloana	2	2	2	2	2	1	1	1	1	2	2	2
Anthuriumpentaphyllum	1	1	1	1	1	1	1	1	1	2	2	2
Aphelandraornata	1	1	1	1	1	1	1	1	1	0	0	0
Ardisiaguianensis	5	5	5	5	5	4	4	4	4	4	4	4
Bactrissetosa	1	1	1	1	1	1	1	1	1	1	1	1
Cabraleacanjerana	1	2	2	0	0	0	0	0	0	0	0	0
Calatheamonophylla	34	36	36	34	33	36	36	36	36	37	36	37
Campomanesiaguaviroba	1	1	1	1	1	1	1	1	1	1	1	1
Caseariadecandra	1	2	2	2	1	1	1	1	1	1	0	0
Caseariaobliqua	0	1	1	1	1	1	1	1	1	1	1	1
Cinnamodendrondinisii	0	1	1	1	0	0	0	0	0	0	0	0
Copaiferatrapezifolia	2	2	1	1	2	6	5	5	4	3	2	2
Cryptocaryamandioccana	4	4	4	4	3	4	4	3	1	5	3	6
Ctenanthelanceolata	14	14	15	16	16	17	17	16	16	19	19	21
Cupaniavernalis	1	2	2	2	2	2	2	2	2	2	2	2
Chrysophylluminornatum	2	2	2	2	2	2	2	2	2	2	2	2
Dalbergiafrutescens	2	2	2	2	2	2	1	1	1	1	1	1
Dichorisandraparanaensis	0	0	0	0	0	0	0	0	0	0	0	2
Dichorisandrapubescens	1	1	1	1	1	1	1	1	1	1	1	1
Eugeniamosenii	5	5	5	5	5	5	5	6	6	6	6	6
Eugeniastigmatosa	1	1	1	1	1	1	1	1	1	1	1	1
Eugeniasubavenia	1	1	1	1	1	1	1	1	1	1	1	1
Euterpeedulis	17	17	16	15	18	27	26	26	28	34	34	31
Geonomagamiova	0	0	0	0	0	3	3	2	3	2	2	2
Geonomaschottiana	3	3	3	3	4	4	5	4	4	4	3	3
Guapiraopposita	2	2	2	2	2	2	2	2	2	2	2	2
Ilexdumosa	1	1	1	1	1	1	1	1	1	1	1	1
Ingasellowiana	2	2	2	2	2	3	3	3	3	2	1	1
Ingasessilis	4	4	5	5	5	6	6	7	7	4	3	3
Mataybaguianensis	1	1	1	1	1	1	1	1	1	1	1	1
Maytenusrobusta	4	5	5	5	5	5	6	6	6	7	7	7
Miconiacubatanensis	1	1	1	1	1	1	1	1	1	1	1	1
Mollinediaschottiana	1	1	2	2	2	2	2	2	2	2	1	1
Mollinediauleana	1	1	1	1	1	1	1	1	1	2	2	2
Myrciapubipetala	2	2	2	2	2	2	2	2	2	2	2	2
Myrciasplendens	3	3	3	3	3	3	3	3	3	1	1	1
Myrciatenuivenosa	1	1	1	1	1	1	1	1	1	1	1	1
Ocoteaaciphylla	4	4	4	3	2	2	2	2	2	2	2	2
Ocoteacatharinensis	14	14	14	13	12	13	13	13	13	8	7	7
Ocoteadispersa	22	22	23	20	22	22	25	23	21	15	12	13
Parinaribrasiliensis	1	1	1	1	1	1	1	1	1	1	1	1
Parinariexcelsa	0	0	0	0	0	0	0	0	0	0	1	1
Phaneramicrostachya	5	6	6	6	8	13	9	20	12	9	4	4
Piperaduncum	1	1	1	1	1	1	0	0	0	0	0	0
Pliniapseudodichasiantha	1	1	1	1	1	1	1	1	1	1	1	1
Posoqueriaacutifolia	1	1	1	1	1	1	1	1	1	1	1	1
Psychotriasuterella	3	3	3	3	3	3	3	3	3	3	3	3
Rudgeajasminoides	11	11	11	11	10	10	10	10	9	8	8	8
Serjaniacommunis	1	1	1	2	2	2	2	2	2	2	1	1
Smilaxspicata	2	2	2	2	1	1	1	1	1	1	1	1
Zollerniailicifolia	1	1	1	1	1	1	1	1	1	1	1	1
