Species	Ab_openT0	Ab_openT6	Ab_openT12	Ab_openT18	Ab_openT24	Ab_openT30	Ab_openT36	Ab_openT42	Ab_openT48	Ab_openT74	Ab_openT81	Ab_openT87
Abutaselloana	2	3	3	3	3	3	3	3	3	2	2	2
Alchorneatriplinervia	1	1	1	1	1	1	1	1	0	0	0	0
Andiraanthelmia	1	1	1	1	1	1	1	1	1	1	1	1
Anthuriumpentaphyllum	1	1	1	1	1	1	1	1	1	1	1	1
Anthuriumscandens	0	0	0	0	0	0	0	0	0	1	1	0
Ardisiaguianensis	3	4	3	3	3	3	3	3	3	3	3	3
Attaleadubia	0	0	0	0	0	0	0	0	1	1	1	1
Bathysaaustralis	1	1	1	1	1	1	1	1	1	1	1	1
Calatheamonophylla	24	26	27	27	26	26	27	27	27	29	28	27
Calyptrantheslanceolata	1	1	1	1	1	1	1	1	1	1	1	1
Campomanesiaguaviroba	2	2	2	2	2	2	2	2	2	2	2	2
Caseariadecandra	1	1	1	1	1	1	1	1	1	1	1	1
Caseariaobliqua	1	1	1	1	1	1	1	1	1	1	1	1
Cinnamodendrondinisii	0	5	4	4	4	3	3	2	2	1	1	1
Copaiferatrapezifolia	0	0	0	0	0	0	0	0	1	0	0	0
Cordiasellowiana	1	1	1	1	0	0	0	0	0	0	0	0
Cryptocaryamandioccana	0	0	0	0	0	0	0	0	0	1	0	0
Ctenanthelanceolata	5	5	5	6	6	7	7	7	7	7	9	11
Cupaniaoblongifolia	1	1	1	1	1	1	1	1	1	1	1	1
Chionanthusfiliformis	1	1	1	1	1	1	1	1	1	1	1	1
Chrysophylluminornatum	2	2	2	2	2	2	2	2	2	2	2	2
Dichorisandraparanaensis	2	2	2	0	0	2	2	1	0	0	0	0
Erythroxylumambiguum	1	1	1	1	1	1	1	1	1	0	1	0
Eugeniahandroana	1	1	1	0	0	0	0	0	0	0	0	0
Eugeniamosenii	1	1	1	1	1	1	1	1	1	1	0	0
Eugenianeoaustralis	0	0	0	0	0	0	0	0	0	0	0	1
Eugeniasubavenia	1	1	1	1	1	1	1	1	1	1	1	1
Eugeniasupraaxillaris	1	1	1	1	1	1	1	1	1	1	1	1
Euterpeedulis	24	22	26	28	29	29	31	35	34	37	43	40
Geonomagamiova	2	2	3	3	3	3	2	3	3	1	1	1
Geonomaschottiana	1	1	1	1	1	1	1	1	1	1	1	1
Heteropterysnitida	3	3	3	3	3	3	3	3	3	2	2	2
Hirtellahebeclada	1	1	1	1	1	1	1	1	1	1	1	1
Ilexdumosa	2	2	2	2	2	2	2	2	2	2	2	2
Ingasellowiana	0	1	1	1	1	1	1	1	1	1	1	1
Ingasessilis	7	7	7	7	7	7	7	6	6	6	5	4
Maytenusrobusta	3	3	3	3	3	3	3	3	3	3	3	3
Miconiacubatanensis	5	5	5	5	5	5	5	6	6	6	6	6
Miconiapussiliflora	8	8	8	8	5	5	5	5	4	2	2	2
Mollinediaschottiana	4	4	4	3	3	3	3	3	3	3	2	2
Mollinediauleana	1	1	1	1	1	1	1	1	1	1	1	1
Myrceugeniamyrcioides	2	2	2	2	2	1	1	1	1	1	1	1
Myrciasplendens	1	1	1	1	1	1	1	1	1	1	1	1
Ocoteaaciphylla	1	1	1	1	1	1	1	1	1	1	1	1
Ocoteacatharinensis	5	5	7	7	5	6	4	4	3	3	2	2
Ocoteadispersa	2	2	2	3	4	5	6	6	6	4	4	4
Ocoteaodorifera	0	0	1	0	0	0	0	0	0	0	0	0
Ocoteateleiandra	2	2	2	2	2	2	2	2	2	1	2	2
Phaneramicrostachya	0	0	0	0	0	4	5	6	5	7	2	1
Pipersetebarraensis	2	2	2	2	2	2	2	2	2	1	1	1
Pleurostachysgaudichaudii	2	2	2	2	2	2	2	2	2	1	1	1
Pliniapseudodichasiantha	1	1	2	2	2	2	2	2	2	2	2	2
Posoqueriaacutifolia	1	1	1	1	0	0	0	0	0	0	0	0
Pouteriabullata	1	1	1	1	0	0	0	0	0	0	0	0
Psychotriasuterella	2	2	2	2	2	2	2	1	1	1	1	1
Rudgeajasminoides	13	13	13	13	13	13	13	12	12	14	11	10
Serjaniacommunis	5	5	5	5	5	7	7	7	8	8	7	6
Sloaneahirsuta	1	1	1	1	1	1	1	1	1	1	1	1
Smilaxspicata	1	1	1	1	1	1	1	1	1	1	1	1
Solanumswartzianum	1	1	0	0	0	0	0	0	0	0	0	0
