Species	Ab_closedT0	Ab_closedT6	Ab_closedT12	Ab_closedT18	Ab_closedT24	Ab_closedT30	Ab_closedT37	Ab_closedT43	Ab_closedT50	Ab_closedT57	Ab_closedT61	Ab_closedT69	Ab_closedT74
Euterpeedulis	42	50	58	73	83	105	113	110	99	106	121	112	112
Polybotryacylindrica	15	15	16	16	15	15	16	16	16	17	19	18	20
Marliereatomentosa	11	11	11	11	11	12	10	11	11	11	11	11	11
Geonomagamiova	7	7	9	9	10	11	11	12	12	11	11	11	9
Aspleniumuniseriale	6	10	11	11	10	10	10	11	11	13	13	12	12
Psychotrialeiocarpa	5	5	6	7	7	7	7	7	7	7	7	7	7
Posoqueriaacutifolia	4	6	5	4	4	3	4	4	4	4	4	1	4
Myrciapubipetala	3	3	3	3	3	3	3	3	3	3	3	1	3
Psychotriaumbellata	3	3	3	3	3	3	3	3	3	3	3	3	3
Cordiasellowiana	2	3	4	4	4	4	4	4	3	3	3	1	3
Ingamarginata	2	2	6	7	9	10	11	14	13	13	13	11	11
Ingasessilis	2	2	2	2	3	2	2	2	2	2	2	2	2
Cupaniaoblongifolia	1	3	3	2	2	2	2	2	2	2	2	2	2
Mollinediaschottiana	1	1	1	1	2	2	2	2	2	3	3	3	3
Dalbergiafrutescens	0	2	2	2	3	3	0	0	0	0	0	0	0
Phaneramicrostachya	0	24	31	23	10	11	16	17	9	88	98	50	23
