Species	Ab_closedT0	Ab_closedT6	Ab_closedT12	Ab_closedT18	Ab_closedT24	Ab_closedT30	Ab_closedT37	Ab_closedT43	Ab_closedT50	Ab_closedT57	Ab_closedT61	Ab_closedT69	Ab_closedT74
Abutaselloana	1	1	1	1	1	1	1	1	1	1	1	1	1
Alchorneaglandulosa	0	0	0	0	0	1	0	0	0	0	0	0	0
Anthuriumloefgrenii	1	1	1	1	1	1	1	1	1	1	1	1	1
Calyptrantheslucida	1	1	2	2	2	2	2	2	2	2	2	2	2
Caseariadecandra	1	1	1	1	1	1	1	1	1	1	1	1	1
Connarusrostratus	1	1	1	1	1	1	1	1	1	1	1	1	1
Cordiasellowiana	2	3	4	4	4	4	4	4	3	3	3	1	3
Cryptocaryamandioccana	0	0	0	0	0	0	0	2	1	1	1	1	1
Ctenitisaspidioides	0	1	1	1	1	1	1	1	1	1	1	1	1
Cupaniaoblongifolia	1	3	3	2	2	2	2	2	2	2	2	2	2
Dalbergiafrutescens	0	2	2	2	3	3	0	0	0	0	0	0	0
Eugenianeoaustralis	0	0	0	0	0	1	0	1	1	1	2	2	2
Euterpeedulis	42	50	58	73	83	105	113	110	99	106	121	112	112
Geonomagamiova	7	7	9	9	10	11	11	12	12	11	11	11	9
Guapiraopposita	1	1	2	2	2	2	2	2	2	2	2	2	2
Guareamacrophylla	0	0	1	1	1	1	1	1	1	1	1	1	1
Hireagaudichaudiana	2	2	2	2	2	2	2	2	2	2	2	2	2
Ingamarginata	2	2	6	7	9	10	11	14	13	13	13	11	11
Ingasessilis	2	2	2	2	3	2	2	2	2	2	2	2	2
Marliereatomentosa	11	11	11	11	11	12	10	11	11	11	11	11	11
Merostachysmultiramea	0	1	0	0	0	0	0	0	0	0	0	0	0
Mollinediaschottiana	1	1	1	1	2	2	2	2	2	3	3	3	3
Myrceugeniamyrcioides	0	0	0	2	0	0	0	0	0	0	0	0	0
Myrciapubipetala	3	3	3	3	3	3	3	3	3	3	3	1	3
Myrciasplendens	2	2	2	2	2	2	2	2	2	2	2	2	2
Myrsineumbellata	1	1	1	1	1	1	1	0	0	0	0	0	0
Nemathantusjolyanus	0	1	1	1	0	0	0	0	0	0	0	0	0
Ocoteacatharinensis	0	0	1	1	1	1	1	1	1	1	1	1	1
Ocoteadispersa	0	0	1	1	1	1	1	1	1	1	1	1	1
Phaneramicrostachya	0	24	31	23	10	11	16	17	9	88	98	50	23
Pliniapauciflora	0	0	1	1	1	1	1	1	1	1	1	1	0
Polybotryacylindrica	15	15	16	16	15	15	16	16	16	17	19	18	20
Posoqueriaacutifolia	4	6	5	4	4	3	4	4	4	4	4	1	4
Psychotrialeiocarpa	5	5	6	7	7	7	7	7	7	7	7	7	7
Psychotriasuterella	0	0	0	0	1	1	1	1	1	1	1	1	1
Psychotriaumbellata	3	3	3	3	3	3	3	3	3	3	3	3	3
Pterisdeflexa	2	2	2	2	1	1	1	1	1	1	1	1	1
Sloaneaguianensis	0	0	0	1	1	2	2	1	1	1	1	1	1
Soroceabonplandii	0	0	0	1	1	1	1	1	1	1	0	0	0
Aspleniumuniseriale	6	10	11	11	10	10	10	11	11	13	13	12	12
