Species	Ab_openT0	Ab_openT6	Ab_openT12	Ab_openT18	Ab_openT24	Ab_openT30	Ab_openT37	Ab_openT43	Ab_openT50	Ab_openT57	Ab_openT61	Ab_openT69	Ab_openT74
Calyptrantheslucida	4	4	4	4	3	3	3	3	3	3	3	3	3
Euterpeedulis	56	59	55	47	41	49	45	39	33	40	47	44	37
Geonomagamiova	10	12	15	14	12	10	11	11	10	10	9	8	7
Ingamarginata	13	13	12	13	13	16	14	15	15	15	14	10	9
Mollinediaschottiana	5	5	4	3	2	2	2	2	2	2	2	1	1
Myrceugeniamyrcioides	5	5	5	5	5	5	5	5	5	5	5	5	5
Phaneramicrostachya	0	3	1	2	2	4	1	1	1	35	35	17	4
Polybotryacylindrica	5	6	7	7	6	7	8	9	9	9	9	5	3
Psychotrianemorosa	3	4	4	4	4	5	5	5	5	5	27	26	3
Aspleniumuniseriale	3	3	3	3	2	2	2	2	3	4	4	4	3
