Species	Ab_openT0	Ab_openT6	Ab_openT12	Ab_openT18	Ab_openT24	Ab_openT30	Ab_openT37	Ab_openT43	Ab_openT50	Ab_openT57	Ab_openT61	Ab_openT69	Ab_openT74
Alchorneaglandulosa	0	0	0	1	1	0	0	0	0	0	0	0	0
Alibertiamyrciifolia	1	1	1	1	1	1	2	1	1	1	1	1	1
Anthuriumloefgrenii	1	1	1	1	1	1	1	1	1	1	1	1	1
Blechnumsampaioanum	1	1	1	1	1	1	1	1	1	1	1	1	1
Calyptrantheslucida	4	4	4	4	3	3	3	3	3	3	3	3	3
Caseariasylvestris	0	0	0	1	0	0	0	1	1	1	1	0	0
Cordiasellowiana	1	1	1	1	1	1	2	2	2	2	2	1	1
Cryptocaryamandioccana	0	0	0	0	0	0	0	1	0	0	0	0	0
Cupaniaoblongifolia	1	1	1	1	1	2	2	2	1	2	2	2	2
Dalbergiafrutescens	1	2	1	0	0	0	0	0	0	0	0	0	0
Daphnopsisschwackeana	1	1	1	1	1	1	1	1	1	1	1	0	0
Dichorisandrathyrsiflora	0	0	0	0	0	1	1	1	1	1	0	0	0
Diplooncuspidatum	0	0	0	0	0	1	0	1	1	1	1	1	1
Euterpeedulis	56	59	55	47	41	49	45	39	33	40	47	44	37
Geonomagamiova	10	12	15	14	12	10	11	11	10	10	9	8	7
Guapiraopposita	2	2	2	2	2	1	1	1	1	0	0	0	0
Guareamacrophylla	1	1	1	1	1	1	1	1	1	1	1	1	1
Ingamarginata	13	13	12	13	13	16	14	15	15	15	14	10	9
Ingasessilis	0	1	1	2	2	2	2	2	2	2	2	2	2
Licaniahoenei	1	1	1	1	1	1	1	1	1	2	2	1	1
Merostachysmultiramea	0	2	1	1	2	2	2	2	1	0	0	0	0
Mollinediaschottiana	5	5	4	3	2	2	2	2	2	2	2	1	1
Myrceugeniamyrcioides	5	5	5	5	5	5	5	5	5	5	5	5	5
Myrciapubipetala	0	0	0	1	0	0	1	1	1	1	1	0	0
Myrciasplendens	0	1	1	1	0	0	0	0	0	0	0	0	0
Ocoteacatharinensis	1	1	2	1	1	1	1	1	1	1	1	1	1
Ocoteadispersa	2	2	2	2	2	2	2	2	2	2	2	1	2
Phaneramicrostachya	0	3	1	2	2	4	1	1	1	35	35	17	4
Piperpseudopothifolium	0	0	1	1	1	1	1	1	1	1	1	1	1
Pliniapauciflora	0	0	0	1	1	1	1	1	1	1	1	1	1
Polybotryacylindrica	5	6	7	7	6	7	8	9	9	9	9	5	3
Posoqueriaacutifolia	2	2	2	2	1	0	0	0	0	0	0	0	0
Psychotrialeiocarpa	2	2	2	2	2	1	1	1	1	1	1	1	1
Psychotrianemorosa	3	4	4	4	4	5	5	5	5	5	27	26	3
Psychotriasuterella	1	1	1	1	1	1	1	1	1	1	1	1	1
Psychotriaumbellata	1	1	1	2	1	1	2	2	2	2	2	2	2
Pterisdeflexa	0	1	1	1	1	1	1	1	1	1	1	0	0
Siparunabrasiliensis	1	1	1	0	0	0	0	0	0	0	0	0	0
Aspleniumuniseriale	3	3	3	3	2	2	2	2	3	4	4	4	3
