Species	Ab_closedT0	Ab_closedT6	Ab_closedT12	Ab_closedT18	Ab_closedT24	Ab_closedT30	Ab_closedT37	Ab_closedT43	Ab_closedT50	Ab_closedT57	Ab_closedT61	Ab_closedT69	Ab_closedT74
Anthuriumscandens	1	1	1	1	1	1	3	2	3	3	3	3	2
Campyloneurumacrocarpon	8	8	8	8	8	6	7	7	8	9	9	10	9
Connarusrostratus	11	11	11	10	10	10	10	9	9	8	8	8	8
Ctenanthelanceolata	35	39	42	107	105	105	111	54	55	56	54	58	59
Cupaniaoblongifolia	9	9	10	10	10	13	15	15	15	15	17	17	17
Chrysophylluminornatum	3	3	3	3	3	3	3	3	3	3	2	2	2
Euterpeedulis	91	85	92	87	91	92	97	89	74	66	71	60	62
Guapiraopposita	16	19	25	29	28	31	35	29	27	22	20	13	13
Guatteriaaustralis	6	8	9	10	10	12	13	13	12	11	7	6	6
Ingamarginata	2	2	2	2	2	5	5	6	6	6	6	6	5
Ingasessilis	2	4	4	4	4	4	4	4	4	3	3	3	3
Mollinediaschottiana	7	7	7	7	7	8	10	10	11	11	11	10	10
Myrceugeniamyrcioides	7	7	9	14	15	15	12	11	10	7	7	6	5
Myrciasplendens	11	11	14	14	14	13	11	11	11	11	11	11	11
Ocoteadispersa	3	3	3	3	4	4	5	5	5	5	5	5	5
Peltastespeltatus	4	4	4	4	4	3	3	3	3	3	3	3	3
Pipercaldense	2	3	3	3	3	3	3	3	3	3	3	3	3
Polybotryacylindrica	8	9	9	10	10	9	10	10	10	9	9	9	10
Prunussellowii	6	6	9	9	9	11	11	10	10	10	10	8	8
Psychotrianemorosa	5	5	5	5	5	5	5	5	5	5	5	5	5
Psychotriasuterella	2	2	3	3	4	4	4	4	3	3	3	3	3
Psychotriaumbellata	14	14	15	16	16	15	14	13	12	11	11	11	11
Xylosmaprockia	1	1	2	4	4	4	4	4	4	4	4	4	4
