Species	Ab_openT0	Ab_openT6	Ab_openT12	Ab_openT18	Ab_openT24	Ab_openT30	Ab_openT37	Ab_openT43	Ab_openT50	Ab_openT57	Ab_openT61	Ab_openT69	Ab_openT74
Campyloneurumacrocarpon	3	3	4	4	5	4	5	5	5	5	6	6	6
Connarusrostratus	4	6	4	4	4	4	4	4	4	4	4	4	4
Ctenanthelanceolata	27	28	31	28	28	31	39	40	42	41	44	40	40
Cupaniaoblongifolia	3	4	5	5	5	5	5	5	4	2	2	2	2
Dalbergiafrutescens	0	2	3	3	3	1	0	1	1	1	1	1	1
Euterpeedulis	185	182	184	134	111	108	94	72	55	59	59	51	52
Geonomagamiova	2	3	3	3	3	3	3	3	3	3	3	2	2
Guapiraopposita	31	33	39	38	38	35	35	33	32	32	30	27	27
Guatteriaaustralis	3	3	4	4	4	4	4	4	4	4	4	4	3
Ingasessilis	4	4	4	4	4	4	4	4	4	4	4	4	4
Mollinediaschottiana	6	6	7	7	7	7	7	7	5	5	4	3	3
Myrciasplendens	4	4	4	4	4	3	3	3	3	3	3	3	3
Myrsineumbellata	2	2	2	2	2	2	3	2	1	1	1	1	1
Ocoteadispersa	0	1	2	2	2	2	2	2	2	3	3	3	4
Polybotryacylindrica	7	8	9	11	10	9	15	17	18	15	16	15	62
Prunussellowii	4	4	4	4	4	4	4	4	4	4	4	4	3
Psychotrialeiocarpa	2	3	4	3	3	3	4	4	4	4	4	3	3
Psychotriasuterella	8	8	8	8	8	9	9	8	8	8	8	7	7
Psychotriaumbellata	7	7	8	8	8	8	8	9	9	9	9	9	9
